Visitor,Home,Prediction,Result,Prediction_Outcome
Houston Rockets,Cleveland Cavaliers
Oklahoma City Thunder,Detroit Pistons
Washington Wizards,Golden State Warriors
Chicago Bulls,Indiana Pacers
Brooklyn Nets,Orlando Magic
Charlotte Hornets,Philadelphia 76ers
