Visitor,Home,Prediction,Result,Prediction_Outcome
Sacramento Kings,Atlanta Hawks
Dallas Mavericks,Boston Celtics
Brooklyn Nets,Charlotte Hornets
Portland Trail Blazers,Houston Rockets
New Orleans Pelicans,Oklahoma City Thunder
Minnesota Timberwolves,Orlando Magic
Indiana Pacers,Philadelphia 76ers
Chicago Bulls,Phoenix Suns
Denver Nuggets,San Antonio Spurs
Toronto Raptors,Utah Jazz
