Visitor,Home,Prediction,Result,Prediction_Outcome
Washington Wizards,Chicago Bulls
Charlotte Hornets,Cleveland Cavaliers
Oklahoma City Thunder,Dallas Mavericks
Philadelphia 76ers,Detroit Pistons
New York Knicks,Indiana Pacers
Denver Nuggets,Los Angeles Clippers
Los Angeles Lakers,Memphis Grizzlies
Golden State Warriors,Miami Heat
San Antonio Spurs,Sacramento Kings
Minnesota Timberwolves,Toronto Raptors
