Visitor,Home,Prediction,Result,Prediction_Outcome
Philadelphia 76ers,Atlanta Hawks
Miami Heat,Brooklyn Nets
Memphis Grizzlies,Chicago Bulls
Boston Celtics,Detroit Pistons
Phoenix Suns,Golden State Warriors
Dallas Mavericks,Indiana Pacers
Milwaukee Bucks,Los Angeles Clippers
Minnesota Timberwolves,New York Knicks
Portland Trail Blazers,Oklahoma City Thunder
Charlotte Hornets,Orlando Magic
Washington Wizards,San Antonio Spurs
New Orleans Pelicans,Utah Jazz
