Visitor,Home,Prediction,Result,Prediction_Outcome
San Antonio Spurs,Atlanta Hawks
Los Angeles Clippers,Brooklyn Nets
New Orleans Pelicans,Chicago Bulls
Boston Celtics,Charlotte Hornets
Washington Wizards,Dallas Mavericks
Indiana Pacers,Detroit Pistons
Los Angeles Lakers,Houston Rockets
Golden State Warriors,Milwaukee Bucks
New York Knicks,Portland Trail Blazers
