Visitor,Home,Prediction,Result,Prediction_Outcome
Brooklyn Nets,Cleveland Cavaliers
Denver Nuggets,Dallas Mavericks
Sacramento Kings,Golden State Warriors
Los Angeles Lakers,Portland Trail Blazers
Atlanta Hawks,San Antonio Spurs
New Orleans Pelicans,Utah Jazz
Toronto Raptors,Washington Wizards
