Visitor,Home,Prediction,Result,Prediction_Outcome
Indiana Pacers,Chicago Bulls
Boston Celtics,Houston Rockets
Oklahoma City Thunder,Memphis Grizzlies
Dallas Mavericks,Philadelphia 76ers
Los Angeles Lakers,Phoenix Suns
Portland Trail Blazers,San Antonio Spurs
