Visitor,Home,Prediction,Result,Prediction_Outcome
Utah Jazz,Atlanta Hawks
Portland Trail Blazers,Charlotte Hornets
Detroit Pistons,Los Angeles Lakers
Memphis Grizzlies,Minnesota Timberwolves
New Orleans Pelicans,New York Knicks
Boston Celtics,Oklahoma City Thunder
Toronto Raptors,Sacramento Kings
