Visitor,Home,Prediction,Result,Prediction_Outcome
Washington Wizards,Atlanta Hawks
Minnesota Timberwolves,Chicago Bulls
New Orleans Pelicans,Dallas Mavericks
Houston Rockets,Los Angeles Clippers
Brooklyn Nets,Milwaukee Bucks
Orlando Magic,Philadelphia 76ers
Golden State Warriors,Sacramento Kings
Charlotte Hornets,San Antonio Spurs
Memphis Grizzlies,Utah Jazz
