Visitor,Home,Prediction,Result,Prediction_Outcome
Orlando Magic,Atlanta Hawks
Denver Nuggets,Brooklyn Nets
Chicago Bulls,Charlotte Hornets
Sacramento Kings,Cleveland Cavaliers
Toronto Raptors,Detroit Pistons
Los Angeles Lakers,Indiana Pacers
Portland Trail Blazers,Memphis Grizzlies
New Orleans Pelicans,Minnesota Timberwolves
Los Angeles Clippers,Philadelphia 76ers
Oklahoma City Thunder,Phoenix Suns
