Visitor,Home,Prediction,Result,Prediction_Outcome
Indiana Pacers,Atlanta Hawks
Milwaukee Bucks,Brooklyn Nets
Cleveland Cavaliers,Los Angeles Clippers
New York Knicks,Los Angeles Lakers
Utah Jazz,Sacramento Kings
