Visitor,Home,Prediction,Result,Prediction_Outcome
Phoenix Suns,Brooklyn Nets
Washington Wizards,Cleveland Cavaliers
Orlando Magic,Minnesota Timberwolves
Memphis Grizzlies,New Orleans Pelicans
Los Angeles Lakers,Philadelphia 76ers
Dallas Mavericks,Portland Trail Blazers
