Visitor,Home,Prediction,Result,Prediction_Outcome
Oklahoma City Thunder,Brooklyn Nets
Dallas Mavericks,Houston Rockets
Boston Celtics,Philadelphia 76ers
Los Angeles Clippers,Toronto Raptors
