Visitor,Home,Prediction,Result,Prediction_Outcome
Cleveland Cavaliers,Dallas Mavericks
San Antonio Spurs,Detroit Pistons
Phoenix Suns,Indiana Pacers
New Orleans Pelicans,Los Angeles Lakers
Houston Rockets,Memphis Grizzlies
Chicago Bulls,Milwaukee Bucks
Oklahoma City Thunder,Minnesota Timberwolves
Boston Celtics,New York Knicks
