Visitor,Home,Prediction,Result,Prediction_Outcome
Oklahoma City Thunder,Chicago Bulls
Charlotte Hornets,Dallas Mavericks
Utah Jazz,Denver Nuggets
Miami Heat,Minnesota Timberwolves
Memphis Grizzlies,Portland Trail Blazers
