Visitor,Home,Prediction,Result,Prediction_Outcome
Washington Wizards,Atlanta Hawks
Orlando Magic,Boston Celtics
Sacramento Kings,Chicago Bulls
San Antonio Spurs,Charlotte Hornets
Denver Nuggets,Cleveland Cavaliers
Milwaukee Bucks,Detroit Pistons
Philadelphia 76ers,Indiana Pacers
Golden State Warriors,Minnesota Timberwolves
Memphis Grizzlies,Phoenix Suns
