Visitor,Home,Prediction,Result,Prediction_Outcome
Cleveland Cavaliers,Boston Celtics
Milwaukee Bucks,Los Angeles Lakers
Denver Nuggets,Minnesota Timberwolves
Houston Rockets,Sacramento Kings
