Visitor,Home,Prediction,Result,Prediction_Outcome
Charlotte Hornets,Denver Nuggets,,,
Indiana Pacers,Houston Rockets,,,
New Orleans Pelicans,Los Angeles Clippers,,,
Utah Jazz,Los Angeles Lakers,,,
Boston Celtics,Memphis Grizzlies,,,
Dallas Mavericks,Minnesota Timberwolves,,,
Milwaukee Bucks,New York Knicks,,,
Cleveland Cavaliers,Philadelphia 76ers,,,
Oklahoma City Thunder,Portland Trail Blazers,,,
