Visitor,Home,Prediction,Result,Prediction_Outcome
Miami Heat,Houston Rockets
Minnesota Timberwolves,Los Angeles Lakers
Boston Celtics,New York Knicks
Toronto Raptors,Phoenix Suns
Milwaukee Bucks,Portland Trail Blazers
