Visitor,Home,Prediction,Result,Prediction_Outcome
New York Knicks,Charlotte Hornets
Chicago Bulls,Cleveland Cavaliers
Detroit Pistons,Denver Nuggets
Memphis Grizzlies,Minnesota Timberwolves
Milwaukee Bucks,New Orleans Pelicans
Atlanta Hawks,Phoenix Suns
Los Angeles Lakers,Portland Trail Blazers
Indiana Pacers,Sacramento Kings
