Visitor,Home,Prediction,Result,Prediction_Outcome
Cleveland Cavaliers,Denver Nuggets
Atlanta Hawks,Houston Rockets
Miami Heat,Memphis Grizzlies
Detroit Pistons,New York Knicks
Milwaukee Bucks,Oklahoma City Thunder
