Visitor,Home,Prediction,Result,Prediction_Outcome
New York Knicks,Dallas Mavericks
Miami Heat,Los Angeles Lakers
Denver Nuggets,Memphis Grizzlies
Phoenix Suns,Milwaukee Bucks
Los Angeles Clippers,Minnesota Timberwolves
Washington Wizards,Sacramento Kings
New Orleans Pelicans,San Antonio Spurs
Atlanta Hawks,Toronto Raptors
Golden State Warriors,Utah Jazz
