Visitor,Home,Prediction,Result,Prediction_Outcome
New York Knicks,Chicago Bulls
Philadelphia 76ers,Los Angeles Lakers
Dallas Mavericks,Miami Heat
Charlotte Hornets,Toronto Raptors
Orlando Magic,Washington Wizards
