Visitor,Home,Prediction,Result,Prediction_Outcome
Sacramento Kings,Charlotte Hornets,,,
Orlando Magic,Cleveland Cavaliers,,,
New York Knicks,Miami Heat,,,
Detroit Pistons,Milwaukee Bucks,,,
Philadelphia 76ers,Minnesota Timberwolves,,,
Phoenix Suns,San Antonio Spurs,,,
Oklahoma City Thunder,Utah Jazz,,,
