Visitor,Home,Prediction,Result,Prediction_Outcome
Golden State Warriors,Dallas Mavericks,,,
Sacramento Kings,Detroit Pistons,,,
Minnesota Timberwolves,Houston Rockets,,,
Phoenix Suns,Los Angeles Lakers,,,
Portland Trail Blazers,New Orleans Pelicans,,,
Cleveland Cavaliers,Orlando Magic,,,
Oklahoma City Thunder,Philadelphia 76ers,,,
Boston Celtics,Toronto Raptors,,,
