Visitor,Home,Prediction,Result,Prediction_Outcome
Milwaukee Bucks,Brooklyn Nets
Memphis Grizzlies,Golden State Warriors
Oklahoma City Thunder,Houston Rockets
Phoenix Suns,Los Angeles Clippers
Portland Trail Blazers,Minnesota Timberwolves
San Antonio Spurs,New York Knicks
Cleveland Cavaliers,Philadelphia 76ers
