Visitor,Home,Prediction,Result,Prediction_Outcome
Toronto Raptors,Boston Celtics
New York Knicks,Chicago Bulls
Milwaukee Bucks,Cleveland Cavaliers
Philadelphia 76ers,Denver Nuggets
Orlando Magic,Detroit Pistons
Los Angeles Clippers,Golden State Warriors
Utah Jazz,Houston Rockets
Sacramento Kings,Minnesota Timberwolves
Los Angeles Lakers,Phoenix Suns
Dallas Mavericks,Portland Trail Blazers
Miami Heat,San Antonio Spurs
Atlanta Hawks,Washington Wizards
