Visitor,Home,Prediction,Result,Prediction_Outcome
Chicago Bulls,Atlanta Hawks
Brooklyn Nets,Detroit Pistons
Charlotte Hornets,Los Angeles Clippers
Washington Wizards,Orlando Magic
Toronto Raptors,Philadelphia 76ers
Golden State Warriors,Sacramento Kings
Miami Heat,Utah Jazz
