Visitor,Home,Prediction,Result,Prediction_Outcome
Brooklyn Nets,Boston Celtics
Philadelphia 76ers,Charlotte Hornets
Utah Jazz,Dallas Mavericks
Phoenix Suns,Denver Nuggets
Chicago Bulls,Golden State Warriors
Toronto Raptors,Los Angeles Lakers
Houston Rockets,Memphis Grizzlies
Detroit Pistons,Minnesota Timberwolves
San Antonio Spurs,New Orleans Pelicans
New York Knicks,Oklahoma City Thunder
Los Angeles Clippers,Portland Trail Blazers
