Visitor,Home,Prediction,Result,Prediction_Outcome
Toronto Raptors,Atlanta Hawks
Denver Nuggets,Chicago Bulls
Golden State Warriors,Charlotte Hornets
Phoenix Suns,Detroit Pistons
New Orleans Pelicans,Houston Rockets
Indiana Pacers,Los Angeles Clippers
Philadelphia 76ers,New York Knicks
Milwaukee Bucks,San Antonio Spurs
Los Angeles Lakers,Washington Wizards
