Visitor,Home,Prediction,Result,Prediction_Outcome
Sacramento Kings,Denver Nuggets
Orlando Magic,Philadelphia 76ers
Brooklyn Nets,Portland Trail Blazers
Houston Rockets,Utah Jazz
New Orleans Pelicans,Washington Wizards
