Visitor,Home,Prediction,Result,Prediction_Outcome
Oklahoma City Thunder,Atlanta Hawks,0,0,1
Washington Wizards,Brooklyn Nets,0,0,1
Portland Trail Blazers,Chicago Bulls,0,0,1
Charlotte Hornets,Dallas Mavericks,0,0,1
Indiana Pacers,Golden State Warriors,0,1,0
Boston Celtics,Houston Rockets,0,1,0
Utah Jazz,Los Angeles Lakers,0,0,1
San Antonio Spurs,Milwaukee Bucks,0,0,1
Memphis Grizzlies,New Orleans Pelicans,0,0,1
Denver Nuggets,Philadelphia 76ers,0,0,1
Cleveland Cavaliers,Toronto Raptors,0,0,1
