Visitor,Home,Prediction,Result,Prediction_Outcome
San Antonio Spurs,Boston Celtics,0,0,1
Dallas Mavericks,Cleveland Cavaliers,0,1,0
Oklahoma City Thunder,Denver Nuggets,0,0,1
Los Angeles Clippers,Detroit Pistons,0,1,0
Brooklyn Nets,Indiana Pacers,0,1,0
Golden State Warriors,Los Angeles Lakers,0,0,1
Miami Heat,Memphis Grizzlies,0,0,1
Toronto Raptors,Milwaukee Bucks,0,0,1
Charlotte Hornets,New York Knicks,0,1,0
Washington Wizards,Orlando Magic,0,0,1
Chicago Bulls,Philadelphia 76ers,0,0,1
Minnesota Timberwolves,Phoenix Suns,0,0,1
New Orleans Pelicans,Portland Trail Blazers,0,1,0
Houston Rockets,Sacramento Kings,0,0,1
Atlanta Hawks,Utah Jazz,0,1,0
