team_name,fg,fga,fg3,fg3a,fg2,fg2a,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
Houston Rockets,40.9,86.9,15.1,39.7,25.8,47.2,18.1,23.9,.758,11.3,33.7,45.1,25.8,8.0,4.6,15.9,20.0,114.9
Golden State Warriors,43.3,87.1,11.8,31.0,31.5,56.1,18.5,23.3,.794,9.1,36.3,45.4,31.2,9.3,6.2,15.1,19.7,117.0
Los Angeles Clippers,39.1,84.2,10.4,27.5,28.8,56.7,19.4,25.5,.761,9.4,34.0,43.4,22.1,8.1,4.6,13.2,20.7,108.0
Portland Trail Blazers,39.1,85.5,10.3,28.6,28.8,56.9,18.8,24.0,.783,9.4,32.4,41.8,21.6,7.1,4.8,13.7,22.4,107.3
Los Angeles Lakers,38.5,86.5,9.1,25.6,29.4,60.8,18.2,23.4,.777,11.8,32.0,43.8,20.4,8.2,3.6,15.8,20.3,104.2
Toronto Raptors,40.2,85.2,9.7,24.6,30.6,60.6,21.0,25.8,.812,10.9,31.7,42.6,19.7,9.2,4.8,12.0,21.0,111.2
Indiana Pacers,38.9,85.7,8.1,22.8,30.7,62.9,18.6,22.8,.815,8.7,33.9,42.5,22.3,8.4,5.6,14.1,19.9,104.5
Oklahoma City Thunder,39.5,86.2,8.4,25.5,31.1,60.7,18.9,26.1,.727,11.2,34.2,45.4,21.6,7.6,5.1,15.2,20.3,106.4
Phoenix Suns,39.2,88.4,8.3,24.1,30.9,64.3,19.4,25.6,.759,11.6,33.4,44.9,18.2,8.8,4.4,16.2,25.3,106.2
Boston Celtics,38.8,86.1,11.2,31.6,27.6,54.5,17.3,21.6,.801,9.4,31.9,41.3,24.9,7.8,4.4,12.4,20.7,106.1
New Orleans Pelicans,38.3,86.9,8.8,25.5,29.4,61.4,17.5,23.2,.755,8.5,36.0,44.5,22.9,7.5,5.9,12.7,18.5,102.9
San Antonio Spurs,38.9,82.1,9.0,22.0,29.9,60.1,18.6,22.6,.823,9.7,33.6,43.3,23.6,8.1,5.5,13.5,18.2,105.4
Charlotte Hornets,38.0,86.0,9.5,27.1,28.5,58.9,19.4,25.2,.771,9.4,36.3,45.8,23.5,6.6,5.2,11.9,16.6,104.9
Denver Nuggets,39.2,87.0,9.5,26.6,29.6,60.4,19.9,26.6,.749,12.5,35.2,47.6,22.8,6.5,4.0,15.8,21.0,107.8
Detroit Pistons,38.6,85.8,7.6,22.3,30.9,63.5,14.0,18.9,.740,9.8,34.1,43.9,20.9,7.0,3.7,12.1,17.6,98.8
Cleveland Cavaliers,39.3,85.2,13.3,33.3,26.0,51.8,19.1,25.1,.761,10.2,34.0,44.2,22.6,7.3,4.1,13.6,18.2,110.9
Memphis Grizzlies,35.6,84.1,8.8,25.5,26.8,58.7,18.5,23.7,.781,10.8,32.8,43.6,20.3,8.7,5.1,13.2,23.9,98.6
Minnesota Timberwolves,38.3,84.3,8.3,23.5,30.0,60.8,18.9,24.2,.781,12.1,30.7,42.8,22.4,7.6,4.6,14.7,20.7,103.7
New York Knicks,39.7,89.9,9.0,25.2,30.7,64.7,17.1,21.6,.791,12.1,34.2,46.3,21.5,7.3,5.8,14.0,21.2,105.5
Atlanta Hawks,38.6,85.1,8.6,26.1,30.0,59.0,16.4,22.9,.716,10.7,33.2,43.9,24.0,8.6,5.1,15.9,18.1,102.3
Orlando Magic,37.8,86.2,8.8,26.3,29.0,59.9,14.6,20.5,.712,9.6,33.3,42.9,22.0,6.5,5.7,12.7,18.5,98.9
Miami Heat,37.9,86.0,8.7,25.0,29.2,61.0,14.0,21.1,.663,11.0,33.6,44.6,21.1,6.8,5.6,13.3,20.3,98.4
Chicago Bulls,37.6,86.6,6.1,19.8,31.5,66.8,19.3,24.1,.800,13.7,33.9,47.7,20.9,7.6,5.3,13.6,17.5,100.5
Brooklyn Nets,37.6,85.4,11.1,32.9,26.5,52.5,19.8,25.3,.781,9.3,34.8,44.0,21.0,7.7,4.5,17.3,20.8,106.0
Washington Wizards,40.2,85.7,8.0,22.4,32.3,63.3,17.3,22.3,.775,10.3,31.6,41.9,22.5,8.8,3.8,14.6,21.8,105.7
Milwaukee Bucks,39.8,84.0,8.6,23.9,31.2,60.1,16.9,22.2,.762,9.5,33.9,43.4,24.9,8.0,5.4,13.8,20.1,105.1
Utah Jazz,35.9,76.9,9.7,26.4,26.2,50.5,17.3,22.9,.757,8.2,34.2,42.4,19.1,6.1,5.2,13.8,19.2,98.9
Sacramento Kings,37.1,83.0,8.7,24.6,28.4,58.4,19.0,24.5,.773,9.6,31.7,41.3,21.5,8.0,4.1,13.9,20.5,101.8
Dallas Mavericks,35.3,82.2,10.3,30.0,25.0,52.2,14.2,17.9,.794,8.8,29.7,38.5,19.6,8.0,3.7,12.3,18.9,95.1
Philadelphia 76ers,36.8,84.4,10.7,29.8,26.1,54.6,14.8,19.9,.746,9.6,33.3,42.9,22.5,7.7,5.6,16.9,22.1,99.0
