team_name,age,wins,losses,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate
Golden State Warriors,28.1,57,14,58,13,11.58,-0.48,11.09,115.3,103.8,100.1,.266,.357,.596,.562,13.2,22.4,.210,.486,13.6,75.3,.201
San Antonio Spurs,29.6,54,16,52,18,7.87,-0.33,7.54,111.9,103.6,94.6,.272,.279,.569,.528,12.6,23.7,.219,.491,13.5,77.8,.202
Houston Rockets,27.5,49,22,50,21,6.85,-0.16,6.68,115.1,108.3,99.7,.305,.464,.585,.547,13.2,24.6,.233,.519,13.7,76.1,.198
Cleveland Cavaliers,29.1,46,23,43,26,4.09,-0.40,3.69,113.9,109.7,96.4,.282,.399,.580,.546,12.5,22.2,.210,.514,11.6,75.5,.171
Los Angeles Clippers,30.0,43,29,44,28,3.40,0.21,3.61,112.0,108.5,96.1,.307,.329,.571,.534,12.2,21.6,.228,.505,12.2,76.7,.218
Utah Jazz,26.7,43,28,45,26,3.79,-0.22,3.57,108.9,104.8,91.7,.293,.327,.561,.523,13.4,22.9,.221,.492,11.9,79.0,.194
Toronto Raptors,26.1,42,29,44,27,3.82,-0.38,3.44,112.3,108.3,94.9,.295,.288,.560,.514,11.5,24.8,.237,.510,13.6,76.4,.226
Boston Celtics,25.8,45,26,41,30,2.46,-0.15,2.32,110.8,108.2,96.5,.268,.389,.565,.522,12.2,21.2,.218,.504,12.8,75.4,.218
Washington Wizards,26.0,42,28,39,31,1.96,-0.58,1.37,110.6,108.6,97.3,.254,.282,.563,.526,12.8,23.7,.200,.521,13.9,75.4,.212
Memphis Grizzlies,29.5,40,31,38,33,0.83,0.43,1.26,107.6,106.7,92.9,.289,.314,.535,.490,12.0,24.7,.226,.504,13.8,77.9,.265
Oklahoma City Thunder,24.6,40,30,37,33,0.67,0.45,1.12,108.4,107.7,97.9,.300,.296,.542,.502,13.2,27.4,.223,.511,12.5,78.5,.216
Miami Heat,26.4,35,36,38,33,1.01,-0.39,0.62,107.7,106.7,95.2,.247,.314,.540,.513,12.3,24.2,.173,.495,12.4,76.5,.219
Denver Nuggets,25.3,33,37,36,34,0.34,0.16,0.51,113.1,112.7,98.0,.282,.327,.567,.529,13.5,28.3,.216,.534,11.1,78.8,.199
Charlotte Hornets,26.6,31,39,37,33,0.74,-0.32,0.42,108.1,107.3,96.1,.278,.333,.545,.499,10.9,19.9,.225,.514,11.9,79.6,.165
Minnesota Timberwolves,23.9,28,42,34,36,-0.61,0.60,-0.01,110.2,110.9,94.5,.281,.255,.554,.511,13.1,27.4,.223,.528,13.2,76.2,.208
Milwaukee Bucks,25.6,35,35,35,35,0.19,-0.22,-0.03,109.6,109.4,94.9,.281,.282,.565,.527,13.1,22.1,.217,.520,13.8,75.3,.220
Detroit Pistons,25.4,34,37,34,37,-0.45,-0.06,-0.51,106.4,106.8,94.9,.222,.261,.524,.495,10.8,23.5,.160,.513,12.1,81.1,.201
Chicago Bulls,27.1,33,38,32,39,-1.34,0.13,-1.21,106.9,108.3,95.0,.266,.251,.526,.481,12.2,27.4,.213,.513,12.2,76.6,.167
Indiana Pacers,27.0,36,34,33,37,-0.84,-0.39,-1.23,107.5,108.4,96.2,.265,.271,.555,.513,12.9,20.3,.214,.508,13.5,75.2,.221
Atlanta Hawks,28.0,37,33,32,38,-1.13,-0.19,-1.32,105.2,106.3,97.3,.296,.309,.543,.507,14.1,23.2,.214,.511,13.9,76.0,.178
Portland Trail Blazers,24.9,32,38,31,39,-1.69,0.32,-1.37,109.8,111.5,97.0,.278,.319,.559,.519,12.7,22.9,.217,.511,11.5,76.7,.246
New Orleans Pelicans,25.6,30,41,30,41,-2.15,0.35,-1.81,104.4,106.6,97.9,.260,.307,.536,.501,12.1,18.8,.194,.505,12.5,77.1,.181
Dallas Mavericks,27.8,30,40,29,41,-2.37,0.24,-2.14,105.8,108.3,92.1,.225,.361,.542,.506,11.6,18.1,.181,.529,14.6,78.0,.221
Sacramento Kings,28.4,27,43,27,43,-3.44,0.46,-2.98,107.3,110.9,94.8,.289,.296,.555,.513,13.6,21.2,.224,.529,13.3,76.4,.228
New York Knicks,27.4,27,43,27,43,-3.39,-0.40,-3.78,108.0,111.5,96.5,.242,.282,.535,.497,12.4,26.4,.190,.508,11.5,74.2,.217
Phoenix Suns,25.4,22,49,24,47,-5.35,0.38,-4.97,106.3,111.6,99.9,.293,.256,.539,.493,13.6,25.7,.230,.525,13.3,76.7,.265
Philadelphia 76ers,24.8,26,44,23,47,-5.13,0.02,-5.11,102.9,108.0,98.7,.261,.344,.540,.502,15.1,22.0,.199,.508,13.5,75.9,.236
Orlando Magic,25.5,26,45,21,50,-6.37,0.05,-6.31,103.3,109.8,96.4,.249,.297,.521,.487,12.2,21.9,.183,.520,12.2,77.2,.203
Los Angeles Lakers,25.3,20,51,19,52,-7.55,0.42,-7.13,106.0,113.6,98.7,.261,.301,.536,.500,13.4,24.9,.197,.543,12.8,75.5,.215
Brooklyn Nets,26.1,14,56,19,51,-7.93,0.45,-7.48,104.1,111.9,101.1,.289,.378,.553,.510,14.9,19.4,.227,.518,11.3,76.4,.216
