team_name,fg_pct,avg_dist,fg2a_pct_fga,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,fg3a_pct_fga,fg2_pct,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,fg3_pct,fg2_pct_ast,pct_fg2_dunk,fg2_dunk,pct_fg2_layup,fg2_layup,fg3_pct_ast,pct_fg3a_corner,fg3_pct_corner,fg3a_heave,fg3_heave
Atlanta Hawks,.451,13.2,.692,.304,.127,.109,.153,.308,.507,.645,.332,.446,.413,.325,.531,.053,89,.258,260,.882,.245,.388,2,0
Boston Celtics,.450,13.9,.641,.295,.141,.071,.133,.359,.500,.617,.347,.418,.445,.360,.544,.027,44,.281,278,.851,.216,.474,6,0
Brooklyn Nets,.431,13.7,.596,.289,.179,.061,.068,.404,.503,.596,.456,.416,.310,.326,.417,.029,42,.289,267,.853,.217,.303,2,0
Chicago Bulls,.441,12.4,.766,.286,.173,.108,.199,.234,.477,.589,.503,.348,.361,.322,.486,.040,58,.266,245,.841,.235,.380,2,0
Charlotte Hornets,.439,13.6,.666,.293,.135,.088,.149,.334,.482,.606,.414,.364,.373,.354,.583,.029,48,.268,260,.813,.138,.405,4,0
Cleveland Cavaliers,.454,14.7,.600,.274,.113,.096,.117,.400,.497,.641,.331,.432,.372,.389,.446,.056,77,.224,195,.846,.263,.469,2,0
Dallas Mavericks,.412,15.1,.645,.209,.126,.119,.191,.355,.462,.605,.407,.404,.379,.320,.443,.039,52,.178,149,.821,.184,.340,2,0
Denver Nuggets,.434,12.1,.716,.340,.170,.085,.120,.284,.463,.565,.399,.344,.346,.362,.465,.045,70,.301,271,.874,.196,.414,4,0
Detroit Pistons,.455,12.6,.764,.253,.202,.143,.166,.236,.486,.643,.389,.436,.409,.352,.460,.043,79,.213,238,.836,.212,.448,10,0
Golden State Warriors,.502,14.4,.636,.288,.108,.110,.132,.364,.569,.714,.460,.403,.478,.385,.668,.068,111,.229,257,.844,.202,.422,6,0
Houston Rockets,.466,13.8,.572,.323,.146,.045,.058,.428,.532,.667,.349,.397,.360,.378,.523,.071,109,.276,288,.754,.203,.360,3,0
Indiana Pacers,.457,13.0,.748,.259,.183,.102,.204,.252,.493,.611,.488,.365,.410,.351,.499,.028,46,.257,263,.852,.224,.384,5,0
Los Angeles Clippers,.464,14.1,.681,.277,.116,.083,.204,.319,.506,.656,.324,.405,.444,.374,.503,.061,97,.231,253,.785,.224,.420,5,0
Los Angeles Lakers,.449,12.9,.709,.272,.186,.122,.128,.291,.492,.649,.368,.386,.441,.346,.467,.061,106,.219,239,.813,.224,.352,5,0
Memphis Grizzlies,.425,13.3,.695,.292,.154,.098,.150,.305,.464,.541,.455,.398,.364,.338,.491,.034,50,.269,235,.816,.215,.412,6,0
Miami Heat,.431,12.3,.709,.327,.171,.077,.134,.291,.472,.595,.384,.338,.361,.332,.422,.051,79,.281,255,.928,.308,.377,3,0
Milwaukee Bucks,.457,11.7,.710,.360,.166,.081,.102,.290,.506,.644,.345,.315,.433,.339,.533,.077,108,.281,245,.960,.269,.300,3,0
Minnesota Timberwolves,.449,12.5,.719,.318,.156,.085,.161,.281,.487,.606,.441,.319,.382,.352,.512,.057,92,.266,239,.844,.246,.359,1,0
New Orleans Pelicans,.443,13.3,.717,.260,.191,.100,.165,.283,.494,.615,.446,.429,.396,.316,.532,.040,66,.235,244,.846,.220,.345,5,0
New York Knicks,.447,13.3,.713,.300,.118,.131,.165,.287,.482,.596,.376,.416,.399,.359,.466,.037,61,.265,255,.864,.203,.452,10,0
Oklahoma City Thunder,.460,11.9,.709,.340,.149,.123,.097,.291,.508,.635,.388,.424,.354,.341,.475,.066,106,.277,302,.827,.290,.420,4,0
Orlando Magic,.421,13.4,.708,.264,.177,.098,.170,.292,.462,.603,.377,.436,.344,.322,.497,.037,58,.235,225,.880,.179,.293,7,0
Philadelphia 76ers,.432,13.9,.652,.272,.142,.108,.129,.348,.468,.649,.338,.355,.330,.366,.514,.031,47,.249,256,.861,.173,.392,4,0
Phoenix Suns,.442,12.8,.740,.291,.155,.124,.171,.260,.481,.593,.422,.395,.405,.331,.389,.043,64,.255,250,.817,.301,.302,6,0
Portland Trail Blazers,.457,13.8,.658,.282,.144,.096,.137,.342,.506,.613,.414,.435,.431,.364,.461,.037,63,.244,261,.804,.237,.367,5,0
Sacramento Kings,.442,12.8,.718,.278,.195,.089,.157,.282,.481,.636,.385,.400,.373,.342,.506,.053,79,.263,251,.864,.256,.331,5,0
San Antonio Spurs,.461,13.7,.728,.233,.166,.119,.211,.272,.484,.611,.419,.396,.442,.400,.529,.042,54,.207,192,.880,.265,.457,4,0
Toronto Raptors,.480,13.3,.717,.250,.176,.123,.169,.283,.515,.650,.438,.486,.418,.389,.403,.044,70,.224,221,.823,.278,.414,4,1
Utah Jazz,.464,13.4,.669,.285,.144,.111,.130,.331,.517,.656,.441,.462,.346,.357,.421,.060,89,.234,227,.773,.223,.355,3,0
Washington Wizards,.451,12.9,.754,.271,.163,.137,.183,.246,.484,.606,.440,.433,.382,.350,.469,.027,35,.262,240,.837,.249,.302,3,0
