Visitor,Home,Prediction,Result,Prediction_Outcome
Denver Nuggets,Atlanta Hawks,0,,
Washington Wizards,Brooklyn Nets,0,,
Los Angeles Lakers,Detroit Pistons,0,,
Chicago Bulls,Golden State Warriors,0,,
Cleveland Cavaliers,Indiana Pacers,0,,
Phoenix Suns,Memphis Grizzlies,0,,
Miami Heat,Milwaukee Bucks,0,,
Toronto Raptors,Minnesota Timberwolves,0,,
Utah Jazz,New Orleans Pelicans,0,,
Los Angeles Clippers,New York Knicks,0,,
San Antonio Spurs,Philadelphia 76ers,0,,
Boston Celtics,Sacramento Kings,0,,
