team_name,age,wins,losses,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate
Golden State Warriors,28.0,52,14,53,13,10.97,-0.33,10.64,115.3,104.4,100.2,.266,.358,.595,.560,13.1,22.5,.210,.490,13.6,75.4,.204
San Antonio Spurs,29.6,52,14,50,16,8.18,-0.31,7.88,111.7,103.1,94.7,.273,.277,.569,.528,12.6,23.5,.219,.490,13.6,77.8,.198
Houston Rockets,27.4,46,21,47,20,6.84,-0.02,6.82,115.5,108.6,99.0,.302,.467,.584,.547,13.0,24.8,.231,.518,13.4,76.0,.197
Utah Jazz,26.7,42,25,43,24,4.16,-0.24,3.92,109.4,104.9,91.7,.297,.329,.565,.526,13.3,22.7,.225,.492,12.0,78.9,.196
Cleveland Cavaliers,29.1,43,22,41,24,4.11,-0.41,3.70,114.1,109.8,96.5,.284,.400,.580,.546,12.6,22.5,.212,.515,11.6,75.4,.171
Toronto Raptors,26.1,39,28,42,25,3.78,-0.37,3.41,112.5,108.5,94.8,.297,.288,.560,.514,11.4,24.8,.238,.511,13.6,76.3,.227
Los Angeles Clippers,30.0,40,27,40,27,2.96,0.30,3.25,111.6,108.6,96.1,.307,.327,.568,.531,12.1,21.8,.227,.505,12.3,76.5,.219
Boston Celtics,25.8,42,25,39,28,2.34,0.00,2.34,110.9,108.5,96.4,.265,.391,.566,.524,12.2,21.0,.216,.506,12.8,75.1,.219
Washington Wizards,26.0,41,25,38,28,2.27,-0.63,1.64,110.8,108.5,97.3,.254,.277,.564,.527,12.8,23.9,.200,.521,14.1,75.5,.213
Memphis Grizzlies,29.5,37,30,35,32,0.67,0.39,1.06,107.7,107.0,93.0,.292,.311,.535,.490,12.0,24.8,.228,.507,13.9,78.0,.268
Minnesota Timberwolves,23.9,28,38,33,33,0.14,0.49,0.63,110.2,110.1,94.6,.282,.256,.554,.511,13.1,27.4,.223,.524,13.2,76.2,.210
Oklahoma City Thunder,24.6,37,29,33,33,0.12,0.43,0.55,108.0,107.9,97.9,.299,.297,.540,.499,13.2,27.3,.224,.511,12.3,78.2,.214
Charlotte Hornets,26.6,29,38,35,32,0.79,-0.32,0.47,108.4,107.6,96.3,.279,.334,.546,.499,11.0,20.2,.227,.514,11.8,79.7,.165
Miami Heat,26.4,32,35,35,32,0.63,-0.28,0.35,107.1,106.4,95.1,.248,.313,.538,.510,12.3,23.8,.174,.493,12.3,76.5,.219
Denver Nuggets,25.4,32,35,34,33,0.21,0.00,0.21,112.8,112.6,97.9,.281,.327,.565,.527,13.5,28.4,.215,.532,11.1,78.5,.198
Milwaukee Bucks,25.5,32,34,34,32,0.45,-0.33,0.13,110.0,109.5,94.9,.284,.281,.568,.530,13.2,22.1,.219,.519,13.8,75.1,.220
Detroit Pistons,25.4,33,33,33,33,0.17,-0.07,0.10,107.0,106.8,95.0,.222,.264,.528,.499,10.9,23.6,.161,.513,12.2,80.9,.202
Atlanta Hawks,28.0,37,30,32,35,-0.54,-0.22,-0.76,105.5,106.0,97.4,.295,.306,.545,.509,14.1,23.2,.213,.510,13.9,76.2,.178
Indiana Pacers,27.0,34,32,31,35,-0.85,-0.45,-1.30,107.8,108.7,96.4,.267,.269,.557,.514,12.9,20.3,.217,.510,13.5,75.1,.226
Chicago Bulls,27.2,32,35,30,37,-1.34,0.03,-1.31,107.0,108.4,94.9,.270,.247,.525,.480,12.0,27.5,.215,.515,12.1,77.2,.167
Dallas Mavericks,27.8,28,38,29,37,-1.68,0.27,-1.41,106.1,107.9,91.9,.225,.362,.544,.507,11.7,18.3,.181,.526,14.6,77.8,.219
Portland Trail Blazers,25.0,29,36,29,36,-1.89,0.26,-1.64,110.0,111.9,97.2,.277,.321,.560,.520,12.6,22.7,.215,.513,11.6,76.6,.251
Sacramento Kings,28.5,26,41,26,41,-3.21,0.43,-2.78,107.5,110.8,94.7,.288,.301,.556,.514,13.6,21.2,.224,.530,13.5,76.8,.231
New Orleans Pelicans,25.6,26,40,26,40,-3.20,0.32,-2.88,103.8,107.0,97.8,.260,.307,.534,.498,12.2,18.7,.194,.505,12.3,76.8,.179
New York Knicks,27.5,26,41,26,41,-3.33,-0.32,-3.65,108.1,111.6,96.5,.242,.283,.536,.498,12.5,26.6,.189,.509,11.4,74.1,.217
Phoenix Suns,25.5,22,45,23,44,-5.01,0.50,-4.51,106.9,111.9,99.7,.294,.259,.543,.498,13.7,25.8,.232,.527,13.4,76.9,.268
Philadelphia 76ers,24.8,24,42,20,46,-6.09,0.01,-6.08,102.8,109.0,98.5,.261,.345,.539,.501,15.1,21.9,.200,.514,13.4,75.7,.233
Orlando Magic,25.5,24,44,20,48,-6.34,0.06,-6.28,103.6,110.1,96.1,.246,.299,.523,.490,12.1,21.8,.180,.521,12.1,77.2,.202
Los Angeles Lakers,25.5,20,47,19,48,-6.93,0.23,-6.70,105.9,112.9,98.6,.262,.302,.536,.498,13.5,25.0,.199,.539,12.8,75.8,.212
Brooklyn Nets,26.2,12,53,17,48,-8.31,0.53,-7.78,103.8,112.0,101.4,.282,.378,.552,.510,15.0,19.5,.222,.519,11.4,76.1,.215
