team_name,fg_pct,avg_dist,fg2a_pct_fga,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,fg3a_pct_fga,fg2_pct,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,fg3_pct,fg2_pct_ast,pct_fg2_dunk,fg2_dunk,pct_fg2_layup,fg2_layup,fg3_pct_ast,pct_fg3a_corner,fg3_pct_corner,fg3a_heave,fg3_heave
Atlanta Hawks,.457,13.0,.694,.326,.119,.094,.155,.306,.507,.629,.352,.403,.428,.344,.533,.054,280,.283,901,.882,.235,.404,10,0
Boston Celtics,.453,14.1,.609,.294,.134,.072,.108,.391,.509,.633,.375,.404,.406,.366,.554,.032,169,.273,908,.836,.215,.428,16,0
Brooklyn Nets,.445,13.2,.622,.306,.176,.072,.068,.378,.507,.609,.430,.392,.362,.344,.445,.034,173,.299,923,.844,.229,.367,16,0
Chicago Bulls,.440,12.6,.753,.278,.171,.123,.181,.247,.478,.593,.455,.396,.378,.323,.505,.039,208,.253,803,.865,.279,.401,7,0
Charlotte Hornets,.440,13.8,.666,.284,.136,.096,.150,.334,.484,.605,.394,.409,.383,.354,.552,.033,174,.257,831,.791,.137,.388,14,0
Cleveland Cavaliers,.468,14.3,.600,.287,.111,.094,.108,.400,.521,.661,.337,.434,.411,.389,.437,.058,295,.235,758,.831,.293,.419,6,0
Dallas Mavericks,.442,15.2,.638,.198,.131,.119,.191,.362,.489,.632,.451,.444,.395,.359,.454,.036,175,.167,520,.817,.195,.377,10,0
Denver Nuggets,.467,12.7,.673,.330,.154,.077,.113,.327,.513,.617,.441,.374,.403,.371,.518,.051,267,.285,933,.876,.199,.368,14,0
Detroit Pistons,.455,13.0,.736,.250,.194,.136,.156,.264,.499,.648,.396,.454,.427,.334,.459,.044,232,.209,721,.828,.199,.395,26,1
Golden State Warriors,.492,14.1,.642,.299,.104,.107,.132,.358,.555,.692,.412,.442,.448,.379,.657,.073,396,.235,827,.827,.206,.394,25,1
Houston Rockets,.462,14.5,.533,.311,.127,.041,.053,.467,.550,.671,.386,.367,.394,.362,.547,.073,382,.264,918,.775,.202,.407,13,0
Indiana Pacers,.464,13.4,.731,.237,.190,.109,.195,.269,.499,.620,.471,.426,.419,.371,.503,.035,173,.232,745,.847,.262,.414,17,1
Los Angeles Clippers,.469,14.2,.673,.275,.121,.081,.196,.327,.515,.654,.400,.411,.434,.376,.496,.064,326,.224,721,.781,.201,.410,12,1
Los Angeles Lakers,.446,12.8,.698,.285,.187,.105,.121,.302,.488,.630,.387,.390,.392,.349,.456,.053,277,.237,784,.776,.224,.381,14,1
Memphis Grizzlies,.435,13.3,.689,.291,.158,.095,.145,.311,.472,.579,.425,.387,.364,.352,.497,.031,155,.271,823,.817,.187,.428,23,0
Miami Heat,.453,13.1,.687,.284,.167,.092,.142,.313,.492,.619,.415,.390,.397,.365,.433,.049,263,.238,747,.892,.310,.400,13,0
Milwaukee Bucks,.477,11.6,.719,.364,.169,.078,.108,.281,.518,.640,.393,.382,.399,.373,.539,.077,383,.288,877,.924,.273,.377,9,0
Minnesota Timberwolves,.466,12.5,.744,.301,.164,.099,.180,.256,.505,.638,.437,.392,.406,.351,.532,.059,307,.248,777,.874,.267,.394,7,0
New Orleans Pelicans,.444,13.3,.693,.276,.169,.098,.149,.307,.485,.615,.410,.417,.371,.351,.503,.046,248,.242,768,.834,.221,.380,8,0
New York Knicks,.447,13.3,.717,.289,.124,.132,.171,.283,.482,.586,.373,.438,.416,.359,.457,.040,215,.256,810,.847,.230,.442,21,0
Oklahoma City Thunder,.451,12.1,.703,.344,.144,.108,.107,.297,.504,.616,.415,.400,.371,.325,.459,.064,328,.282,895,.782,.260,.349,17,2
Orlando Magic,.441,13.5,.701,.262,.171,.112,.156,.299,.491,.625,.422,.432,.379,.325,.490,.041,221,.230,760,.870,.182,.291,22,0
Philadelphia 76ers,.442,13.2,.655,.304,.148,.097,.107,.345,.491,.635,.369,.379,.358,.347,.539,.045,226,.265,863,.869,.152,.406,8,0
Phoenix Suns,.453,12.5,.741,.311,.154,.114,.161,.259,.492,.626,.410,.395,.379,.343,.409,.056,286,.263,879,.793,.289,.338,16,0
Portland Trail Blazers,.461,13.4,.679,.293,.144,.093,.149,.321,.504,.601,.423,.434,.432,.370,.456,.047,239,.245,746,.810,.207,.388,14,0
Sacramento Kings,.458,13.1,.699,.260,.196,.091,.152,.301,.494,.642,.427,.394,.391,.373,.504,.048,237,.259,830,.885,.245,.418,17,0
San Antonio Spurs,.473,13.3,.723,.256,.162,.116,.191,.277,.502,.650,.428,.384,.437,.396,.523,.048,237,.218,709,.879,.270,.430,9,0
Toronto Raptors,.462,13.1,.712,.258,.182,.119,.152,.288,.502,.627,.449,.439,.402,.363,.371,.043,227,.234,735,.788,.257,.369,10,1
Utah Jazz,.465,13.2,.671,.290,.152,.105,.124,.329,.512,.651,.425,.432,.360,.369,.447,.068,327,.229,697,.782,.272,.366,12,1
Washington Wizards,.475,13.0,.723,.296,.141,.110,.176,.277,.513,.633,.431,.424,.434,.376,.496,.043,224,.262,884,.860,.267,.353,9,0
