Visitor,Home,Prediction,Result,Prediction_Outcome
Atlanta Hawks,Brooklyn Nets,,,
Miami Heat,Golden State Warriors,,,
Charlotte Hornets,Houston Rockets,,,
Portland Trail Blazers,Los Angeles Lakers,,,
Detroit Pistons,Sacramento Kings,,,
Milwaukee Bucks,San Antonio Spurs,,,
Boston Celtics,Toronto Raptors,,,
Cleveland Cavaliers,Utah Jazz,,,
Chicago Bulls,Washington Wizards,,,
Atlanta Hawks,Brooklyn Nets,,,
Miami Heat,Golden State Warriors,,,
Charlotte Hornets,Houston Rockets,,,
Portland Trail Blazers,Los Angeles Lakers,,,
Detroit Pistons,Sacramento Kings,,,
Milwaukee Bucks,San Antonio Spurs,,,
Boston Celtics,Toronto Raptors,,,
Cleveland Cavaliers,Utah Jazz,,,
Chicago Bulls,Washington Wizards,,,
