team_name,age,wins,losses,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate
Golden State Warriors,28.1,56,14,57,13,11.39,-0.46,10.93,115.3,104.0,100.2,.267,.357,.596,.561,13.1,22.4,.210,.487,13.6,75.3,.202
San Antonio Spurs,29.6,53,16,51,18,7.88,-0.34,7.55,111.9,103.6,94.6,.272,.279,.569,.528,12.6,23.7,.219,.491,13.4,77.9,.201
Houston Rockets,27.5,49,22,50,21,6.85,-0.15,6.69,115.4,108.6,99.4,.305,.464,.585,.547,13.0,24.6,.233,.519,13.5,76.1,.198
Cleveland Cavaliers,29.1,46,23,43,26,4.09,-0.40,3.69,113.9,109.7,96.4,.282,.399,.580,.546,12.5,22.2,.210,.514,11.6,75.5,.171
Utah Jazz,26.7,43,28,45,26,3.79,-0.20,3.59,108.9,104.8,91.7,.293,.327,.561,.523,13.4,22.9,.221,.492,11.9,79.0,.194
Toronto Raptors,26.1,41,29,44,26,3.84,-0.38,3.47,112.2,108.2,94.9,.296,.288,.560,.514,11.5,24.7,.238,.510,13.6,76.4,.226
Los Angeles Clippers,30.0,42,29,43,28,3.11,0.32,3.43,111.7,108.5,96.1,.306,.328,.569,.532,12.1,21.5,.227,.505,12.2,76.8,.218
Boston Celtics,25.8,45,26,41,30,2.46,-0.15,2.31,110.8,108.2,96.5,.268,.389,.565,.522,12.2,21.2,.218,.504,12.8,75.4,.218
Memphis Grizzlies,29.5,40,30,37,33,1.03,0.44,1.47,107.9,106.8,92.9,.291,.313,.535,.490,12.0,24.9,.228,.505,13.8,78.0,.267
Washington Wizards,26.0,42,28,39,31,1.96,-0.59,1.37,110.6,108.6,97.3,.254,.282,.563,.526,12.8,23.7,.200,.521,13.9,75.4,.212
Oklahoma City Thunder,24.6,40,30,37,33,0.67,0.44,1.12,108.4,107.7,97.9,.300,.296,.542,.502,13.2,27.4,.223,.511,12.5,78.5,.216
Denver Nuggets,25.3,33,37,36,34,0.34,0.17,0.52,113.1,112.7,98.0,.282,.327,.567,.529,13.5,28.3,.216,.534,11.1,78.8,.199
Miami Heat,26.4,34,36,37,33,0.81,-0.33,0.49,107.7,106.8,95.1,.247,.315,.541,.513,12.3,24.0,.173,.495,12.3,76.5,.219
Charlotte Hornets,26.6,31,39,37,33,0.74,-0.33,0.42,108.1,107.3,96.1,.278,.333,.545,.499,10.9,19.9,.225,.514,11.9,79.6,.165
Minnesota Timberwolves,23.9,28,41,33,36,-0.52,0.50,-0.02,110.3,110.9,94.6,.280,.256,.554,.511,13.0,27.3,.222,.528,13.2,76.2,.208
Milwaukee Bucks,25.5,34,35,35,34,0.14,-0.21,-0.06,109.7,109.6,94.9,.284,.283,.566,.528,13.1,22.0,.218,.521,13.8,75.3,.220
Detroit Pistons,25.4,34,36,34,36,-0.43,0.04,-0.39,106.4,106.9,94.9,.222,.261,.524,.495,10.8,23.5,.161,.514,12.1,81.1,.202
Indiana Pacers,27.0,36,34,33,37,-0.84,-0.40,-1.24,107.5,108.4,96.2,.265,.271,.555,.513,12.9,20.3,.214,.508,13.5,75.2,.221
Chicago Bulls,27.2,33,37,32,38,-1.33,0.08,-1.25,107.0,108.4,94.7,.266,.249,.525,.480,12.0,27.5,.212,.513,12.0,76.8,.167
Atlanta Hawks,28.0,37,33,32,38,-1.13,-0.20,-1.32,105.2,106.3,97.3,.296,.309,.543,.507,14.1,23.2,.214,.511,13.9,76.0,.178
Portland Trail Blazers,24.9,32,37,31,38,-1.67,0.33,-1.34,110.0,111.6,97.0,.278,.320,.560,.520,12.7,22.8,.217,.512,11.5,76.7,.248
Dallas Mavericks,27.8,30,39,30,39,-2.04,0.08,-1.97,105.9,108.2,92.1,.227,.360,.544,.507,11.7,18.0,.182,.528,14.6,77.9,.222
New Orleans Pelicans,25.6,29,41,30,40,-2.37,0.35,-2.02,104.4,106.8,97.9,.261,.307,.537,.502,12.1,18.7,.194,.505,12.4,76.9,.181
Sacramento Kings,28.4,27,43,27,43,-3.44,0.46,-2.98,107.3,110.9,94.8,.289,.296,.555,.513,13.6,21.2,.224,.529,13.3,76.4,.228
New York Knicks,27.4,27,43,27,43,-3.39,-0.40,-3.79,108.0,111.5,96.5,.242,.282,.535,.497,12.4,26.4,.190,.508,11.5,74.2,.217
Phoenix Suns,25.4,22,48,24,46,-5.21,0.38,-4.83,106.5,111.6,99.9,.292,.257,.539,.494,13.5,25.7,.229,.525,13.4,76.9,.266
Philadelphia 76ers,24.8,26,44,23,47,-5.13,0.02,-5.11,102.9,108.0,98.7,.261,.344,.540,.502,15.1,22.0,.199,.508,13.5,75.9,.236
Orlando Magic,25.5,26,45,21,50,-6.37,0.05,-6.32,103.3,109.8,96.4,.249,.297,.521,.487,12.2,21.9,.183,.520,12.2,77.2,.203
Los Angeles Lakers,25.3,20,50,20,50,-7.31,0.38,-6.94,105.9,113.3,98.7,.261,.302,.537,.500,13.5,24.9,.197,.541,12.8,75.6,.214
Brooklyn Nets,26.2,13,56,18,51,-8.07,0.46,-7.61,104.1,112.0,101.2,.290,.378,.553,.510,15.0,19.4,.228,.519,11.3,76.4,.218
