team_name,W_PCT,HOME_RECORD,ROAD_RECORD,L10,CurrentStreak
New York Knicks,0.4032258064516129,0.45454545454545453,0.3448275862068966,0.2,-2
Los Angeles Lakers,0.19672131147540983,0.25925925925925924,0.14705882352941177,0.2,1
Memphis Grizzlies,0.5932203389830508,0.7,0.4827586206896552,0.6,1
Philadelphia 76ers,0.13333333333333333,0.17857142857142858,0.09375,0.1,-9
San Antonio Spurs,0.847457627118644,1.0,0.7096774193548387,0.9,5
Houston Rockets,0.48333333333333334,0.5333333333333333,0.43333333333333335,0.4,-2
Detroit Pistons,0.5166666666666667,0.6206896551724138,0.41935483870967744,0.5,4
Boston Celtics,0.5901639344262295,0.6666666666666666,0.5161290322580645,0.7,3
Miami Heat,0.5666666666666667,0.6129032258064516,0.5172413793103449,0.6,2
Orlando Magic,0.4406779661016949,0.5161290322580645,0.35714285714285715,0.5,-1
Portland Trail Blazers,0.5409836065573771,0.6129032258064516,0.4666666666666667,0.9,3
Golden State Warriors,0.9152542372881356,1.0,0.8529411764705882,0.9,6
Chicago Bulls,0.5084745762711864,0.6333333333333333,0.3793103448275862,0.3,-3
Washington Wizards,0.4915254237288136,0.5,0.48148148148148145,0.7,3
Dallas Mavericks,0.5409836065573771,0.6129032258064516,0.4666666666666667,0.5,3
Minnesota Timberwolves,0.31666666666666665,0.3333333333333333,0.3,0.5,-1
Oklahoma City Thunder,0.7,0.7575757575757576,0.6296296296296297,0.5,1
Charlotte Hornets,0.5254237288135594,0.6896551724137931,0.36666666666666664,0.7,1
Milwaukee Bucks,0.4166666666666667,0.6296296296296297,0.24242424242424243,0.5,1
Los Angeles Clippers,0.6610169491525424,0.6666666666666666,0.6551724137931034,0.7,2
Toronto Raptors,0.6724137931034483,0.7777777777777778,0.5806451612903226,0.7,-1
Utah Jazz,0.4745762711864407,0.6129032258064516,0.32142857142857145,0.4,-3
Phoenix Suns,0.25,0.34375,0.14285714285714285,0.1,-1
Sacramento Kings,0.41379310344827586,0.4666666666666667,0.35714285714285715,0.3,-3
New Orleans Pelicans,0.39655172413793105,0.5517241379310345,0.2413793103448276,0.5,-1
Cleveland Cavaliers,0.711864406779661,0.8333333333333334,0.5862068965517241,0.7,1
Atlanta Hawks,0.5409836065573771,0.6129032258064516,0.4666666666666667,0.4,-1
Brooklyn Nets,0.2786885245901639,0.3333333333333333,0.21428571428571427,0.4,-2
Indiana Pacers,0.5166666666666667,0.6206896551724138,0.41935483870967744,0.5,-3
Denver Nuggets,0.38333333333333336,0.3793103448275862,0.3870967741935484,0.4,-2
