team_name,fg,fga,fg3,fg3a,fg2,fg2a,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
Houston Rockets,40.6,86.5,14.5,39.5,26.0,47.0,18.9,24.7,.764,10.6,33.1,43.7,25.6,8.3,4.6,15.7,19.9,114.5
Golden State Warriors,43.5,87.3,11.9,31.0,31.6,56.3,18.5,23.5,.788,9.0,36.2,45.2,31.0,9.3,6.4,15.2,19.3,117.5
Los Angeles Lakers,38.4,86.5,9.1,25.8,29.3,60.7,17.8,23.2,.766,11.6,32.3,43.9,20.5,7.7,3.7,15.2,20.5,103.6
Portland Trail Blazers,39.4,86.5,10.2,28.3,29.2,58.2,18.6,23.7,.785,9.7,32.8,42.5,22.1,7.0,5.1,13.7,21.6,107.5
Toronto Raptors,39.8,85.7,9.3,24.7,30.5,61.0,20.8,25.6,.810,11.0,31.7,42.7,18.7,9.0,5.1,12.0,20.9,109.6
Los Angeles Clippers,39.3,83.9,10.4,27.3,28.9,56.5,19.1,25.5,.750,9.5,34.3,43.8,22.4,7.6,4.7,13.2,20.5,108.0
New York Knicks,40.0,89.1,9.1,25.1,30.9,64.0,16.4,20.9,.787,12.3,33.7,46.0,21.5,7.0,5.8,14.3,20.7,105.5
Oklahoma City Thunder,39.4,86.0,8.4,25.9,30.9,60.2,19.1,25.8,.741,11.1,34.3,45.5,21.3,7.7,5.2,15.1,20.4,106.3
Boston Celtics,39.3,86.2,12.0,32.6,27.3,53.6,17.4,21.3,.817,9.4,31.8,41.2,25.5,7.6,4.5,12.7,20.3,108.0
Denver Nuggets,40.4,87.3,9.8,27.0,30.7,60.4,19.5,25.6,.760,12.3,34.2,46.5,24.3,6.6,4.2,15.4,20.1,110.1
Cleveland Cavaliers,39.1,85.6,12.9,33.6,26.2,52.1,18.9,25.2,.749,10.2,33.8,44.1,21.9,7.4,4.0,14.0,18.1,110.0
San Antonio Spurs,39.8,83.1,9.3,22.7,30.5,60.4,18.7,22.8,.818,9.4,33.5,42.8,24.2,8.0,5.7,12.9,18.3,107.6
Charlotte Hornets,37.9,85.9,9.6,27.1,28.2,58.8,19.9,24.9,.798,9.4,36.1,45.5,23.4,6.6,5.1,12.1,16.9,105.2
Washington Wizards,40.8,86.1,8.6,23.4,32.2,62.7,16.3,20.8,.784,10.2,32.6,42.8,23.2,8.6,4.0,14.5,21.3,106.7
Phoenix Suns,39.3,87.5,8.1,23.3,31.3,64.2,19.7,25.2,.784,11.9,32.7,44.6,18.4,8.4,4.2,15.8,24.9,106.5
Brooklyn Nets,37.9,85.7,11.3,33.0,26.6,52.7,18.8,23.7,.793,8.6,34.9,43.5,21.3,7.2,4.5,16.8,20.8,106.0
New Orleans Pelicans,38.7,87.7,9.6,26.7,29.1,61.0,16.6,22.2,.749,8.8,35.8,44.6,23.0,7.6,6.1,12.6,18.5,103.7
Indiana Pacers,39.3,84.8,8.4,22.7,30.9,62.2,18.6,22.8,.818,8.4,33.2,41.6,22.3,8.8,5.3,14.3,19.4,105.7
Chicago Bulls,37.5,86.5,6.4,20.4,31.1,66.1,19.7,24.6,.802,13.3,33.9,47.2,20.6,7.8,5.2,13.6,17.5,101.2
Atlanta Hawks,38.6,84.8,9.0,26.0,29.5,58.9,16.8,23.3,.724,10.3,33.2,43.5,24.1,8.6,5.0,15.4,17.8,103.0
Milwaukee Bucks,39.4,83.5,8.5,23.3,30.9,60.3,17.3,22.7,.762,9.7,32.5,42.2,24.7,8.2,5.4,14.1,20.0,104.6
Memphis Grizzlies,36.1,84.3,9.1,26.1,27.0,58.3,18.7,24.0,.779,10.9,32.9,43.7,20.7,8.5,4.6,13.0,23.6,99.9
Orlando Magic,38.2,86.7,8.8,26.4,29.4,60.4,14.5,20.1,.718,9.9,33.1,43.0,22.4,6.8,5.2,13.2,18.5,99.7
Utah Jazz,36.2,78.3,9.4,25.9,26.8,52.4,17.6,23.5,.750,8.8,34.0,42.8,19.2,6.6,5.0,13.6,18.9,99.4
Minnesota Timberwolves,38.5,83.5,7.8,22.3,30.7,61.2,18.7,23.8,.786,11.4,31.2,42.6,23.0,7.7,4.7,14.8,20.7,103.5
Sacramento Kings,37.2,82.2,9.0,24.9,28.3,57.2,19.5,25.0,.781,9.3,31.5,40.8,22.1,8.2,4.0,14.3,20.8,103.0
Miami Heat,37.9,85.6,8.9,25.6,29.0,59.9,14.4,21.4,.676,10.3,33.6,43.9,21.1,7.0,5.3,13.2,20.6,99.2
Detroit Pistons,39.3,86.7,8.0,23.1,31.3,63.6,14.0,19.0,.738,9.9,34.0,44.0,21.3,7.2,3.8,12.2,18.5,100.6
Philadelphia 76ers,36.8,83.9,10.6,29.7,26.2,54.2,16.2,21.3,.761,9.5,33.7,43.2,23.4,8.0,5.8,17.1,21.8,100.3
Dallas Mavericks,35.9,82.2,10.7,30.1,25.2,52.0,14.2,17.7,.798,8.3,29.8,38.1,20.1,7.7,3.8,12.1,19.3,96.7
