Visitor,Home,Prediction,Result,Prediction_Outcome
Orlando Magic,Atlanta Hawks,,,
Minnesota Timberwolves,Chicago Bulls,,,
Memphis Grizzlies,Cleveland Cavaliers,,,
Golden State Warriors,New Orleans Pelicans,,,
New York Knicks,Phoenix Suns,,,
Oklahoma City Thunder,Portland Trail Blazers,,,
Orlando Magic,Atlanta Hawks,,,
Minnesota Timberwolves,Chicago Bulls,,,
Memphis Grizzlies,Cleveland Cavaliers,,,
Golden State Warriors,New Orleans Pelicans,,,
New York Knicks,Phoenix Suns,,,
Oklahoma City Thunder,Portland Trail Blazers,,,
