"Visitor","Home","visitor_age","visitor_wins_pyth","visitor_losses_pyth","visitor_mov","visitor_sos","visitor_srs","visitor_off_rtg","visitor_def_rtg","visitor_pace","visitor_fta_per_fga_pct","visitor_fg3a_per_fga_pct","visitor_ts_pct","visitor_efg_pct","visitor_tov_pct","visitor_orb_pct","visitor_ft_rate","visitor_opp_efg_pct","visitor_opp_tov_pct","visitor_drb_pct","visitor_opp_ft_rate","visitor_opp_mp","visitor_opp_fg_pct","visitor_opp_avg_dist","visitor_opp_fg2a_pct_fga","visitor_opp_pct_fga_00_03","visitor_opp_pct_fga_03_10","visitor_opp_pct_fga_10_16","visitor_opp_pct_fga_16_xx","visitor_opp_fg3a_pct_fga","visitor_opp_fg2_pct","visitor_opp_fg_pct_00_03","visitor_opp_fg_pct_03_10","visitor_opp_fg_pct_10_16","visitor_opp_fg_pct_16_xx","visitor_opp_fg3_pct","visitor_opp_fg2_pct_ast","visitor_opp_pct_fg2_dunk","visitor_opp_fg2_dunk","visitor_opp_pct_fg2_layup","visitor_opp_fg2_layup","visitor_opp_fg3_pct_ast","visitor_opp_pct_fg3a_corner","visitor_opp_fg3_pct_corner","visitor_opp_fg","visitor_opp_fga","visitor_opp_fg3","visitor_opp_fg3a","visitor_opp_fg2","visitor_opp_fg2a","visitor_opp_ft","visitor_opp_fta","visitor_opp_ft_pct","visitor_opp_orb","visitor_opp_drb","visitor_opp_trb","visitor_opp_ast","visitor_opp_stl","visitor_opp_blk","visitor_opp_tov","visitor_opp_pf","visitor_opp_pts","visitor_fg_pct","visitor_avg_dist","visitor_fg2a_pct_fga","visitor_pct_fga_00_03","visitor_pct_fga_03_10","visitor_pct_fga_10_16","visitor_pct_fga_16_xx","visitor_fg3a_pct_fga","visitor_fg2_pct","visitor_fg_pct_00_03","visitor_fg_pct_03_10","visitor_fg_pct_10_16","visitor_fg_pct_16_xx","visitor_fg3_pct","visitor_fg2_pct_ast","visitor_pct_fg2_dunk","visitor_fg2_dunk","visitor_pct_fg2_layup","visitor_fg2_layup","visitor_fg3_pct_ast","visitor_pct_fg3a_corner","visitor_fg3_pct_corner","visitor_fg3a_heave","visitor_fg3_heave","visitor_fg","visitor_fga","visitor_fg3","visitor_fg3a","visitor_fg2","visitor_fg2a","visitor_ft","visitor_fta","visitor_ft_pct","visitor_orb","visitor_drb","visitor_trb","visitor_ast","visitor_stl","visitor_blk","visitor_tov","visitor_pf","visitor_pts","home_age","home_wins_pyth","home_losses_pyth","home_mov","home_sos","home_srs","home_off_rtg","home_def_rtg","home_pace","home_fta_per_fga_pct","home_fg3a_per_fga_pct","home_ts_pct","home_efg_pct","home_tov_pct","home_orb_pct","home_ft_rate","home_opp_efg_pct","home_opp_tov_pct","home_drb_pct","home_opp_ft_rate","home_opp_mp","home_opp_fg_pct","home_opp_avg_dist","home_opp_fg2a_pct_fga","home_opp_pct_fga_00_03","home_opp_pct_fga_03_10","home_opp_pct_fga_10_16","home_opp_pct_fga_16_xx","home_opp_fg3a_pct_fga","home_opp_fg2_pct","home_opp_fg_pct_00_03","home_opp_fg_pct_03_10","home_opp_fg_pct_10_16","home_opp_fg_pct_16_xx","home_opp_fg3_pct","home_opp_fg2_pct_ast","home_opp_pct_fg2_dunk","home_opp_fg2_dunk","home_opp_pct_fg2_layup","home_opp_fg2_layup","home_opp_fg3_pct_ast","home_opp_pct_fg3a_corner","home_opp_fg3_pct_corner","home_opp_fg","home_opp_fga","home_opp_fg3","home_opp_fg3a","home_opp_fg2","home_opp_fg2a","home_opp_ft","home_opp_fta","home_opp_ft_pct","home_opp_orb","home_opp_drb","home_opp_trb","home_opp_ast","home_opp_stl","home_opp_blk","home_opp_tov","home_opp_pf","home_opp_pts","home_fg_pct","home_avg_dist","home_fg2a_pct_fga","home_pct_fga_00_03","home_pct_fga_03_10","home_pct_fga_10_16","home_pct_fga_16_xx","home_fg3a_pct_fga","home_fg2_pct","home_fg_pct_00_03","home_fg_pct_03_10","home_fg_pct_10_16","home_fg_pct_16_xx","home_fg3_pct","home_fg2_pct_ast","home_pct_fg2_dunk","home_fg2_dunk","home_pct_fg2_layup","home_fg2_layup","home_fg3_pct_ast","home_pct_fg3a_corner","home_fg3_pct_corner","home_fg3a_heave","home_fg3_heave","home_fg","home_fga","home_fg3","home_fg3a","home_fg2","home_fg2a","home_ft","home_fta","home_ft_pct","home_orb","home_drb","home_trb","home_ast","home_stl","home_blk","home_tov","home_pf","home_pts"
"Atlanta Hawks","Houston Rockets",28.2,23,26,-0.67,-0.64,-1.32,105.2,105.9,97.2,0.275,0.305,0.54,0.505,13.8,23.8,0.2,0.509,14,75.7,0.173,11910,0.45,13.9,0.673,0.264,0.134,0.112,0.164,0.327,0.493,0.589,0.428,0.419,0.441,0.361,0.481,0.043,162,0.224,505,0.826,0.236,0.42,39.4,87.5,10.3,28.6,29,58.9,15.2,19.7,0.769,10.8,33.4,44.1,22.5,8.9,5.2,15.6,21.1,104.2,0.453,13,0.695,0.323,0.119,0.099,0.156,0.305,0.5,0.624,0.348,0.395,0.423,0.345,0.539,0.052,201,0.279,653,0.896,0.229,0.427,6,0,38.7,85.6,9,26.1,29.7,59.5,17.1,23.6,0.725,10.4,33.4,43.9,24.1,8.5,5,15.4,17.8,103.6,27.4,36,16,6.08,-0.04,6.03,114.5,108.4,99,0.285,0.458,0.586,0.551,13.9,24.8,0.218,0.518,13.3,76.6,0.202,12555,0.46,13.4,0.678,0.286,0.169,0.082,0.14,0.322,0.51,0.688,0.41,0.351,0.361,0.356,0.487,0.046,200,0.256,736,0.816,0.24,0.393,40.2,87.3,10,28.2,30.2,59.2,17.6,22.7,0.776,10.2,32.3,42.5,22.9,8.8,5,15,20,108,0.467,14.5,0.542,0.312,0.132,0.041,0.056,0.458,0.554,0.679,0.39,0.364,0.403,0.365,0.549,0.074,297,0.263,723,0.787,0.204,0.398,11,0,40.4,86.4,14.4,39.6,25.9,46.8,18.9,24.7,0.765,10.6,33.3,44,25.6,8.2,4.6,15.7,20.1,114.1
"Golden State Warriors","Los Angeles Clippers",28.1,41,8,13.16,-0.43,12.73,116.6,103.6,100.7,0.268,0.358,0.605,0.57,13.4,22.1,0.212,0.485,13,76.2,0.196,11835,0.434,13.6,0.681,0.275,0.158,0.101,0.146,0.319,0.487,0.626,0.38,0.396,0.405,0.321,0.491,0.045,184,0.239,602,0.832,0.207,0.356,39,90,9.2,28.7,29.8,61.2,17.7,23.1,0.763,11.3,31.7,43,22.3,8.8,3.8,15,20.1,105,0.501,14.2,0.642,0.294,0.105,0.113,0.13,0.358,0.563,0.693,0.445,0.452,0.462,0.388,0.664,0.069,282,0.234,611,0.83,0.201,0.386,21,1,43.7,87.4,12.1,31.3,31.6,56.1,18.5,23.4,0.79,9,36.2,45.2,31.1,9.4,6.5,15.1,19.2,118.1,30.1,31,18,4.08,-0.58,3.5,111.8,107.6,96.3,0.306,0.324,0.569,0.53,12.2,22.3,0.23,0.499,12.2,76.7,0.219,11810,0.448,13.4,0.707,0.267,0.152,0.124,0.164,0.293,0.489,0.648,0.435,0.382,0.36,0.349,0.51,0.048,186,0.234,575,0.839,0.222,0.375,38.3,85.6,8.7,25,29.6,60.5,18.7,24.4,0.769,10.4,32.8,43.2,22.4,7.2,3.4,13.3,22.3,104.1,0.469,14.2,0.676,0.274,0.118,0.085,0.199,0.324,0.512,0.651,0.382,0.422,0.434,0.379,0.495,0.065,237,0.225,528,0.782,0.207,0.404,9,0,39.3,83.8,10.3,27.2,29,56.7,19.2,25.7,0.75,9.4,34.2,43.6,22.4,7.7,4.8,13.2,20.6,108.2
"Philadelphia 76ers","San Antonio Spurs",25,16,32,-5.35,-0.34,-5.69,102.4,107.9,97.5,0.254,0.351,0.539,0.503,15.4,21.8,0.193,0.508,13.2,75.4,0.224,11620,0.454,13.1,0.702,0.294,0.153,0.106,0.149,0.298,0.493,0.633,0.366,0.437,0.386,0.363,0.487,0.05,192,0.254,593,0.829,0.216,0.42,38.9,85.5,9.3,25.5,29.6,60,19.2,25.4,0.756,10.9,33.8,44.7,22.1,8.5,5,14.7,20.1,106.1,0.441,13.6,0.649,0.285,0.148,0.102,0.114,0.351,0.487,0.642,0.366,0.363,0.373,0.354,0.545,0.04,147,0.254,603,0.869,0.158,0.42,6,0,37,84.1,10.5,29.5,26.6,54.5,16.2,21.3,0.761,9.4,33.3,42.8,23.6,8,5.7,17,21.8,100.8,29.7,36,12,8.25,-0.25,8,113.2,104.5,94.5,0.278,0.272,0.576,0.534,12.2,22.8,0.226,0.496,13.4,77.8,0.202,11570,0.445,13,0.702,0.293,0.16,0.1,0.149,0.298,0.491,0.612,0.369,0.425,0.428,0.338,0.498,0.051,185,0.255,559,0.838,0.255,0.336,37,83.1,8.4,24.8,28.6,58.3,16.8,21.5,0.782,9.6,31.6,41.2,21.3,7.6,4.1,14.3,20.1,99.2,0.478,13.4,0.728,0.253,0.165,0.112,0.199,0.272,0.504,0.645,0.416,0.407,0.449,0.409,0.523,0.047,166,0.216,502,0.881,0.276,0.433,9,0,39.7,83.1,9.3,22.6,30.5,60.5,18.8,23.1,0.811,9.3,33.8,43.1,24.1,7.9,5.8,12.9,18.4,107.5
"Los Angeles Lakers","Washington Wizards",25.9,16,35,-6.2,0.51,-5.69,106.3,112.7,97.8,0.267,0.298,0.537,0.498,13.6,25.4,0.204,0.535,12.5,75.3,0.206,12240,0.477,13.3,0.682,0.293,0.148,0.094,0.147,0.318,0.529,0.679,0.434,0.405,0.402,0.366,0.526,0.063,251,0.241,654,0.854,0.208,0.399,41.2,86.3,10,27.4,31.1,58.9,17.8,23.5,0.756,10.6,34,44.5,24.9,8.6,5.4,13.8,18.7,110.2,0.445,12.9,0.702,0.282,0.185,0.109,0.126,0.298,0.484,0.631,0.379,0.388,0.394,0.354,0.452,0.052,205,0.236,587,0.796,0.216,0.387,9,1,38.6,86.6,9.1,25.8,29.4,60.8,17.7,23.1,0.766,11.5,32.4,43.9,20.6,7.7,3.8,15.2,20.4,104,26,27,21,1.94,-0.62,1.32,109.8,107.9,96.7,0.238,0.271,0.561,0.527,13.2,24.1,0.186,0.516,14,75.6,0.213,11595,0.458,13.6,0.677,0.287,0.143,0.098,0.149,0.323,0.504,0.635,0.388,0.451,0.402,0.361,0.507,0.048,179,0.246,571,0.839,0.217,0.392,38.6,84.3,9.8,27.2,28.8,57.1,17.9,23.9,0.749,10.5,31.8,42.4,22.8,7.6,4.2,15.5,19.3,105,0.477,13,0.729,0.292,0.141,0.113,0.183,0.271,0.517,0.635,0.443,0.444,0.43,0.37,0.496,0.042,156,0.259,633,0.845,0.266,0.329,7,0,41.1,86.2,8.6,23.3,32.5,62.9,16.1,20.5,0.784,10.1,32.8,42.9,23.4,8.5,4,14.4,21.3,106.9
