team_name,fg,fga,fg3,fg3a,fg2,fg2a,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
Houston Rockets,40.7,86.7,15.0,40.0,25.7,46.7,18.6,24.5,.757,10.9,33.3,44.3,25.7,8.1,4.6,15.5,19.8,114.9
Golden State Warriors,43.6,87.3,11.8,30.8,31.8,56.5,18.7,23.6,.792,9.0,36.0,45.0,31.2,9.4,6.1,15.1,19.4,117.5
Los Angeles Lakers,38.5,86.3,9.1,25.8,29.3,60.4,18.2,24.0,.759,11.4,32.4,43.8,20.6,7.7,3.5,15.1,20.5,104.3
Portland Trail Blazers,39.6,86.2,10.4,28.8,29.2,57.4,18.5,23.7,.780,9.5,32.9,42.4,22.4,6.9,5.1,13.7,22.0,108.1
Los Angeles Clippers,39.1,83.9,10.2,27.2,28.9,56.6,19.4,25.7,.755,9.3,34.6,43.9,22.4,7.8,4.8,13.2,20.6,108.0
Oklahoma City Thunder,39.6,86.2,8.4,25.9,31.1,60.3,19.1,25.9,.738,11.3,34.5,45.8,21.6,7.6,5.1,15.0,20.6,106.7
Toronto Raptors,40.3,85.5,9.5,24.5,30.8,61.1,21.3,26.2,.814,11.1,31.8,42.9,19.3,9.1,4.9,12.1,20.9,111.3
New York Knicks,39.7,89.3,9.2,25.3,30.6,64.0,16.5,21.1,.782,12.1,33.4,45.5,21.7,7.2,5.8,14.3,20.8,105.1
Detroit Pistons,39.0,86.7,7.8,22.8,31.3,63.9,13.9,18.7,.742,9.8,33.8,43.6,21.0,7.1,4.0,12.0,18.0,99.8
Memphis Grizzlies,36.1,84.6,9.0,26.0,27.1,58.7,18.3,23.4,.780,10.6,32.8,43.4,20.8,8.7,4.7,13.1,24.1,99.6
Boston Celtics,38.9,85.9,12.0,32.4,26.9,53.5,17.3,21.4,.807,9.4,31.8,41.2,24.9,7.5,4.6,12.6,20.4,106.9
San Antonio Spurs,39.5,82.3,9.4,22.6,30.2,59.7,18.4,22.4,.818,9.5,33.5,43.0,24.1,7.9,5.8,13.3,18.1,106.7
Cleveland Cavaliers,38.7,85.2,12.7,33.0,26.0,52.2,19.3,25.3,.763,10.4,33.8,44.3,21.6,7.5,3.9,13.8,17.9,109.4
Chicago Bulls,37.8,87.0,6.4,20.4,31.3,66.6,19.5,24.4,.801,13.6,34.1,47.7,20.9,7.7,5.1,13.5,17.5,101.5
Phoenix Suns,39.3,88.0,8.2,23.5,31.1,64.5,19.4,25.1,.770,12.1,33.1,45.2,18.4,8.6,4.4,16.2,25.2,106.0
Minnesota Timberwolves,38.3,83.8,8.0,22.9,30.3,60.9,18.3,23.4,.785,11.8,31.3,43.1,22.6,7.6,4.6,14.8,20.6,102.9
Brooklyn Nets,37.7,85.9,11.2,33.2,26.5,52.7,18.6,23.9,.779,9.0,35.0,44.0,21.2,7.4,4.6,17.2,21.1,105.3
Charlotte Hornets,37.7,85.8,9.5,26.9,28.2,58.9,20.3,25.7,.788,9.4,36.0,45.4,23.2,6.6,5.1,12.1,17.0,105.2
New Orleans Pelicans,38.1,87.0,9.1,26.0,29.0,61.0,17.0,22.5,.753,8.6,36.0,44.5,22.8,7.5,5.9,12.8,18.3,102.4
Orlando Magic,38.0,86.5,8.9,26.3,29.1,60.1,14.6,20.3,.717,9.9,33.0,42.9,22.1,6.7,5.4,13.0,18.7,99.4
Utah Jazz,36.1,77.5,9.7,26.3,26.3,51.2,17.1,22.8,.751,8.6,34.1,42.7,19.3,6.5,5.0,13.9,19.1,99.0
Denver Nuggets,39.8,87.6,9.8,27.2,30.0,60.5,19.4,25.6,.757,12.4,34.7,47.1,23.5,6.7,4.0,15.5,20.7,108.8
Indiana Pacers,39.4,85.8,8.4,22.8,31.1,63.0,18.7,22.8,.821,8.7,33.7,42.4,22.6,8.4,5.5,14.0,19.3,106.0
Atlanta Hawks,38.7,84.9,8.9,25.8,29.8,59.1,16.6,23.0,.720,10.7,33.6,44.2,24.0,8.7,5.2,15.6,17.8,102.9
Washington Wizards,40.6,86.2,8.3,22.8,32.3,63.4,16.0,20.6,.775,10.1,32.0,42.1,22.9,8.6,3.9,14.6,21.3,105.5
Sacramento Kings,37.3,82.5,8.9,24.8,28.4,57.7,19.3,24.6,.783,9.4,31.5,40.9,21.8,8.1,4.1,14.3,20.5,102.8
Milwaukee Bucks,39.7,83.3,8.7,23.4,31.0,59.9,17.1,22.4,.764,9.4,33.1,42.5,24.9,8.1,5.5,13.8,19.9,105.2
Miami Heat,37.7,85.9,8.6,25.6,29.0,60.3,14.3,21.1,.677,10.7,33.4,44.1,21.2,6.7,5.7,13.2,20.5,98.3
Dallas Mavericks,35.5,82.0,10.7,30.2,24.9,51.8,14.0,17.6,.797,8.3,29.7,38.0,19.9,7.8,3.9,12.3,19.2,95.7
Philadelphia 76ers,36.6,84.6,10.4,29.9,26.2,54.7,15.4,20.4,.753,9.8,33.4,43.2,22.7,7.9,5.6,16.8,21.7,99.1
