Visitor,Home,Prediction,Result,Prediction_Outcome
Miami Heat,Boston Celtics,,,
Toronto Raptors,Brooklyn Nets,,,
Philadelphia 76ers,Chicago Bulls,,,
Orlando Magic,Charlotte Hornets,,,
Detroit Pistons,Cleveland Cavaliers,,,
San Antonio Spurs,Dallas Mavericks,,,
Memphis Grizzlies,Golden State Warriors,,,
Sacramento Kings,Houston Rockets,,,
Utah Jazz,Los Angeles Lakers,,,
Indiana Pacers,Milwaukee Bucks,,,
New Orleans Pelicans,Minnesota Timberwolves,,,
Los Angeles Clippers,Phoenix Suns,,,
Denver Nuggets,Portland Trail Blazers,,,
Atlanta Hawks,Washington Wizards,,,
