team_name,opp_mp,opp_fg_pct,opp_avg_dist,opp_fg2a_pct_fga,opp_pct_fga_00_03,opp_pct_fga_03_10,opp_pct_fga_10_16,opp_pct_fga_16_xx,opp_fg3a_pct_fga,opp_fg2_pct,opp_fg_pct_00_03,opp_fg_pct_03_10,opp_fg_pct_10_16,opp_fg_pct_16_xx,opp_fg3_pct,opp_fg2_pct_ast,opp_pct_fg2_dunk,opp_fg2_dunk,opp_pct_fg2_layup,opp_fg2_layup,opp_fg3_pct_ast,opp_pct_fg3a_corner,opp_fg3_pct_corner
Atlanta Hawks,10850,.450,13.8,.676,.267,.138,.112,.159,.324,.492,.594,.418,.406,.447,.361,.485,.043,148,.227,468,.829,.233,.427
Boston Celtics,10610,.453,13.5,.690,.277,.164,.096,.152,.310,.499,.615,.421,.418,.420,.352,.505,.041,144,.244,511,.851,.211,.378
Brooklyn Nets,10610,.464,13.3,.689,.285,.150,.103,.151,.311,.508,.617,.422,.405,.455,.367,.468,.051,194,.254,562,.784,.228,.378
Chicago Bulls,11065,.457,12.6,.723,.310,.157,.100,.156,.277,.494,.603,.406,.405,.425,.358,.535,.047,174,.280,596,.860,.248,.406
Charlotte Hornets,10875,.444,14.1,.650,.287,.115,.093,.154,.350,.492,.568,.439,.450,.414,.354,.507,.031,107,.260,556,.871,.221,.379
Cleveland Cavaliers,10370,.455,13.3,.677,.293,.152,.101,.129,.323,.501,.639,.374,.404,.414,.359,.529,.046,149,.250,553,.840,.238,.362
Dallas Mavericks,10635,.470,13.6,.685,.265,.147,.105,.169,.315,.503,.668,.417,.411,.373,.398,.486,.044,138,.223,472,.796,.259,.437
Denver Nuggets,10635,.471,13.3,.712,.281,.151,.110,.170,.288,.512,.635,.469,.451,.388,.370,.498,.048,177,.239,535,.841,.206,.426
Detroit Pistons,11090,.456,13.4,.704,.264,.163,.117,.160,.296,.494,.638,.384,.441,.405,.368,.544,.036,121,.231,522,.857,.228,.371
Golden State Warriors,10875,.433,13.7,.679,.271,.160,.101,.147,.321,.487,.631,.371,.402,.406,.318,.478,.045,168,.237,554,.831,.209,.353
Houston Rockets,11595,.458,13.4,.677,.283,.171,.082,.139,.323,.505,.682,.403,.359,.359,.359,.474,.045,181,.253,669,.815,.240,.390
Indiana Pacers,10660,.451,14.1,.659,.264,.147,.092,.156,.341,.505,.626,.444,.449,.390,.346,.492,.047,161,.247,527,.878,.253,.368
Los Angeles Clippers,11330,.445,13.5,.707,.263,.155,.125,.165,.293,.486,.649,.436,.373,.361,.344,.509,.047,174,.232,543,.844,.222,.362
Los Angeles Lakers,11520,.480,13.4,.678,.291,.150,.094,.143,.322,.534,.692,.437,.404,.398,.366,.534,.064,238,.239,623,.855,.212,.394
Memphis Grizzlies,11240,.436,14.0,.641,.277,.149,.083,.132,.359,.492,.616,.414,.384,.386,.338,.477,.043,143,.250,501,.834,.228,.395
Miami Heat,10875,.449,12.8,.719,.289,.164,.118,.148,.281,.487,.583,.443,.450,.378,.350,.458,.041,146,.253,509,.846,.250,.364
Milwaukee Bucks,10610,.449,13.4,.648,.311,.133,.092,.113,.352,.500,.622,.413,.362,.381,.356,.545,.051,169,.262,552,.882,.293,.405
Minnesota Timberwolves,10850,.469,13.0,.682,.318,.138,.091,.134,.318,.522,.651,.420,.407,.403,.355,.485,.061,213,.266,566,.863,.215,.399
New Orleans Pelicans,10950,.444,13.7,.663,.284,.155,.097,.129,.337,.490,.643,.372,.372,.383,.353,.502,.048,183,.247,577,.844,.221,.379
New York Knicks,11115,.450,12.8,.686,.321,.149,.087,.129,.314,.494,.597,.415,.406,.391,.354,.482,.051,182,.278,603,.843,.230,.428
Oklahoma City Thunder,10900,.455,12.1,.711,.326,.181,.095,.109,.289,.498,.621,.396,.398,.388,.351,.473,.053,182,.279,617,.843,.228,.367
Orlando Magic,11330,.462,12.9,.703,.312,.151,.106,.135,.297,.506,.619,.455,.387,.395,.356,.485,.061,208,.258,586,.826,.203,.416
Philadelphia 76ers,10420,.449,13.1,.703,.289,.154,.108,.151,.297,.487,.622,.363,.436,.391,.360,.476,.046,156,.252,524,.830,.209,.419
Phoenix Suns,10925,.468,13.2,.699,.293,.142,.113,.150,.301,.504,.640,.374,.441,.408,.386,.464,.046,163,.255,569,.825,.215,.468
Portland Trail Blazers,11190,.455,13.4,.696,.275,.164,.104,.154,.304,.487,.580,.431,.436,.414,.382,.444,.042,147,.237,493,.820,.199,.365
Sacramento Kings,10635,.462,14.1,.649,.248,.172,.080,.149,.351,.508,.645,.444,.419,.398,.378,.516,.050,160,.220,460,.843,.240,.439
San Antonio Spurs,10850,.446,13.0,.706,.294,.161,.099,.153,.294,.491,.611,.370,.422,.431,.337,.498,.050,169,.257,527,.838,.254,.333
Toronto Raptors,10850,.456,13.3,.669,.283,.172,.093,.121,.331,.503,.658,.392,.386,.388,.361,.502,.054,189,.256,538,.833,.227,.367
Utah Jazz,11305,.434,12.7,.724,.295,.167,.115,.146,.276,.463,.586,.368,.358,.405,.356,.415,.048,160,.249,512,.785,.193,.391
Washington Wizards,10875,.462,13.6,.678,.285,.145,.100,.148,.322,.508,.639,.389,.447,.414,.367,.506,.047,166,.246,537,.839,.224,.392
