Visitor,Home,Prediction,Result,Prediction_Outcome
Boston Celtics,Atlanta Hawks,,,
Milwaukee Bucks,Indiana Pacers,,,
Washington Wizards,New York Knicks,,,
Brooklyn Nets,Orlando Magic,,,
Chicago Bulls,Philadelphia 76ers,,,
Minnesota Timberwolves,Portland Trail Blazers,,,
Boston Celtics,Atlanta Hawks,,,
Milwaukee Bucks,Indiana Pacers,,,
Washington Wizards,New York Knicks,,,
Brooklyn Nets,Orlando Magic,,,
Chicago Bulls,Philadelphia 76ers,,,
Minnesota Timberwolves,Portland Trail Blazers,,,
