Visitor,Home,Prediction,Result,Prediction_Outcome
Boston Celtics,Atlanta Hawks,,,
Memphis Grizzlies,Houston Rockets,,,
Miami Heat,Milwaukee Bucks,,,
Oklahoma City Thunder,Minnesota Timberwolves,,,
Charlotte Hornets,Philadelphia 76ers,,,
Orlando Magic,Portland Trail Blazers,,,
Cleveland Cavaliers,Sacramento Kings,,,
Brooklyn Nets,Toronto Raptors,,,
Detroit Pistons,Utah Jazz,,,
Boston Celtics,Atlanta Hawks,,,
Memphis Grizzlies,Houston Rockets,,,
Miami Heat,Milwaukee Bucks,,,
Oklahoma City Thunder,Minnesota Timberwolves,,,
Charlotte Hornets,Philadelphia 76ers,,,
Orlando Magic,Portland Trail Blazers,,,
Cleveland Cavaliers,Sacramento Kings,,,
Brooklyn Nets,Toronto Raptors,,,
Detroit Pistons,Utah Jazz,,,
