Visitor,Home,Prediction,Result,Prediction_Outcome
Memphis Grizzlies,Denver Nuggets,,,
Boston Celtics,Detroit Pistons,,,
Charlotte Hornets,Los Angeles Clippers,,,
San Antonio Spurs,Los Angeles Lakers,,,
Phoenix Suns,Milwaukee Bucks,,,
New Orleans Pelicans,Oklahoma City Thunder,,,
Portland Trail Blazers,Toronto Raptors,,,
Utah Jazz,Washington Wizards,,,
Memphis Grizzlies,Denver Nuggets,,,
Boston Celtics,Detroit Pistons,,,
Charlotte Hornets,Los Angeles Clippers,,,
San Antonio Spurs,Los Angeles Lakers,,,
Phoenix Suns,Milwaukee Bucks,,,
New Orleans Pelicans,Oklahoma City Thunder,,,
Portland Trail Blazers,Toronto Raptors,,,
Utah Jazz,Washington Wizards,,,
