team_name,age,wins,losses,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate
Golden State Warriors,28.2,64,14,64,14,11.72,-0.18,11.54,115.7,104.0,99.8,.261,.359,.598,.564,13.2,22.7,.206,.485,13.6,74.9,.202
San Antonio Spurs,29.6,60,17,57,20,7.79,-0.06,7.74,111.6,103.4,94.3,.269,.280,.567,.527,12.6,23.9,.216,.490,13.6,77.5,.197
Houston Rockets,27.5,52,25,53,24,6.35,0.10,6.45,114.9,108.6,99.9,.302,.459,.584,.545,13.3,24.8,.232,.520,13.6,75.8,.195
Utah Jazz,26.8,48,30,50,28,4.12,-0.17,3.95,109.4,104.9,91.6,.290,.327,.562,.525,13.2,23.2,.217,.492,11.8,79.1,.195
Los Angeles Clippers,30.0,47,31,48,30,3.60,0.06,3.66,112.3,108.6,96.2,.313,.329,.573,.536,12.2,21.5,.233,.507,12.1,76.7,.214
Toronto Raptors,26.1,47,31,49,29,4.00,-0.54,3.46,112.4,108.2,94.8,.296,.287,.561,.516,11.8,25.1,.236,.508,13.5,76.3,.225
Cleveland Cavaliers,29.1,50,27,47,30,3.52,-0.40,3.12,113.9,110.3,96.2,.278,.397,.581,.548,12.5,22.0,.207,.516,11.5,75.5,.173
Boston Celtics,25.9,50,27,45,32,2.75,-0.36,2.39,111.1,108.3,96.6,.272,.390,.567,.525,12.4,21.3,.220,.503,12.7,75.2,.220
Oklahoma City Thunder,24.6,44,33,41,36,1.08,0.46,1.53,108.4,107.3,97.9,.297,.296,.542,.503,13.3,27.5,.222,.510,12.6,78.9,.216
Washington Wizards,26.0,47,31,44,34,1.95,-0.43,1.52,111.3,109.3,97.4,.254,.283,.564,.527,12.7,24.1,.200,.525,13.9,75.6,.216
Memphis Grizzlies,29.5,42,36,41,37,0.64,0.59,1.23,107.6,107.0,92.4,.283,.316,.534,.490,12.0,24.8,.222,.506,13.7,77.9,.261
Charlotte Hornets,26.6,36,42,41,37,0.94,-0.32,0.62,109.2,108.2,95.9,.280,.338,.550,.503,10.8,19.9,.228,.521,12.1,79.6,.165
Miami Heat,26.5,37,40,41,36,0.81,-0.41,0.39,107.6,106.7,95.2,.249,.314,.540,.511,12.3,24.2,.175,.495,12.5,76.2,.221
Denver Nuggets,25.3,37,40,39,38,0.12,0.15,0.27,113.6,113.5,98.0,.277,.324,.568,.530,13.1,27.8,.215,.537,10.9,78.7,.196
Milwaukee Bucks,25.6,40,38,39,39,0.00,-0.26,-0.26,109.6,109.6,94.6,.279,.288,.566,.528,13.0,21.7,.214,.520,13.7,75.3,.216
Minnesota Timberwolves,23.9,31,46,36,41,-0.90,0.45,-0.44,110.8,111.8,94.5,.287,.251,.555,.511,12.9,27.5,.229,.533,13.3,76.0,.212
Portland Trail Blazers,24.9,38,40,37,41,-0.81,0.21,-0.60,110.4,111.2,96.8,.279,.321,.560,.520,12.5,23.0,.217,.510,11.6,76.8,.244
Chicago Bulls,27.0,38,40,37,41,-0.79,-0.06,-0.86,107.3,108.1,95.0,.262,.255,.529,.486,12.2,27.1,.209,.513,12.3,76.4,.168
Indiana Pacers,27.0,38,40,37,41,-0.96,-0.23,-1.19,108.0,109.0,96.0,.262,.272,.555,.512,12.7,21.0,.212,.511,13.4,75.1,.225
New Orleans Pelicans,25.7,33,45,35,43,-1.60,0.37,-1.23,105.4,107.0,97.9,.259,.311,.540,.504,11.8,18.7,.194,.507,12.3,77.0,.178
Detroit Pistons,25.4,35,42,35,42,-1.29,-0.26,-1.55,105.7,107.1,94.9,.221,.261,.521,.492,10.9,23.8,.159,.515,12.0,81.2,.199
Atlanta Hawks,27.9,39,38,35,42,-1.31,-0.47,-1.78,104.4,105.8,97.4,.296,.306,.538,.501,14.2,23.7,.215,.507,13.9,75.9,.178
Dallas Mavericks,27.7,32,45,32,45,-2.49,0.32,-2.18,105.8,108.4,92.1,.226,.364,.543,.506,11.6,18.0,.182,.530,14.6,77.8,.218
Sacramento Kings,28.0,31,47,29,49,-4.00,0.65,-3.35,106.9,111.1,94.7,.283,.294,.555,.514,13.8,21.0,.219,.528,13.1,76.5,.227
New York Knicks,27.3,30,48,30,48,-3.50,-0.23,-3.73,107.6,111.2,96.2,.239,.278,.534,.496,12.5,26.2,.189,.508,11.6,74.0,.215
Phoenix Suns,25.2,22,56,25,53,-5.92,0.44,-5.49,106.2,112.0,100.3,.297,.256,.538,.493,13.6,25.8,.231,.526,13.2,76.6,.265
Philadelphia 76ers,24.7,28,50,25,53,-5.60,-0.09,-5.69,103.2,108.9,98.6,.257,.349,.540,.503,15.0,22.2,.197,.512,13.4,75.5,.236
Orlando Magic,25.4,27,51,23,55,-6.27,0.05,-6.22,103.7,110.2,96.6,.246,.299,.523,.488,12.1,21.8,.183,.521,12.0,77.3,.203
Brooklyn Nets,26.1,19,59,24,54,-6.37,0.04,-6.33,104.5,110.7,101.2,.289,.371,.554,.510,14.8,19.6,.227,.513,11.5,76.1,.213
Los Angeles Lakers,25.1,22,55,21,56,-7.44,0.47,-6.97,106.1,113.7,98.5,.261,.298,.538,.501,13.5,25.0,.197,.543,12.8,75.6,.215
