team_name,fg,fga,fg3,fg3a,fg2,fg2a,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
Golden State Warriors,43.1,87.0,12.0,31.3,31.0,55.7,17.9,22.7,.789,9.3,35.0,44.3,30.5,9.6,6.8,14.8,19.4,116.1
Houston Rockets,40.4,87.2,14.4,40.0,26.0,47.2,20.2,26.4,.767,10.9,33.3,44.2,25.2,8.3,4.3,15.2,20.0,115.4
Denver Nuggets,41.2,87.8,10.6,28.5,30.6,59.3,18.8,24.4,.773,12.0,34.2,46.2,25.3,6.9,3.9,14.9,19.2,111.8
Washington Wizards,41.4,87.3,9.2,24.7,32.2,62.6,17.4,22.2,.785,10.3,32.6,42.9,24.0,8.5,4.1,14.1,21.4,109.4
Cleveland Cavaliers,39.9,84.8,13.0,33.6,26.9,51.1,17.5,23.5,.744,9.4,34.3,43.6,22.7,6.6,4.0,13.6,18.0,110.5
Los Angeles Clippers,39.4,83.2,10.3,27.4,29.1,55.8,19.4,26.0,.745,9.0,34.0,43.0,22.4,7.4,4.3,13.1,20.0,108.5
Portland Trail Blazers,39.7,86.1,10.3,27.6,29.4,58.5,18.7,24.0,.781,10.1,33.4,43.5,21.3,7.1,5.0,13.8,21.3,108.3
Phoenix Suns,39.7,88.3,7.5,22.6,32.2,65.7,20.4,26.2,.777,11.8,33.1,44.8,19.4,8.2,4.9,15.7,24.9,107.3
Toronto Raptors,39.2,84.4,8.8,24.2,30.3,60.2,19.9,25.0,.797,10.7,32.6,43.3,18.4,8.3,5.0,12.7,21.0,107.1
Boston Celtics,38.6,84.9,11.9,33.1,26.6,51.8,18.7,23.1,.811,9.1,32.8,41.9,25.0,7.5,4.2,13.4,20.5,107.8
Brooklyn Nets,38.0,85.1,10.8,31.6,27.2,53.5,19.3,24.6,.787,8.8,35.1,43.8,21.5,7.1,4.7,16.6,21.3,106.2
Charlotte Hornets,37.9,85.5,10.2,28.9,27.7,56.6,19.5,23.9,.814,8.8,35.0,43.8,23.2,6.9,4.8,11.6,16.7,105.6
Oklahoma City Thunder,39.6,87.1,8.4,25.8,31.1,61.4,19.3,25.9,.746,11.9,34.5,46.4,21.1,8.0,5.1,15.2,20.8,106.9
Indiana Pacers,39.0,84.6,8.7,23.1,30.4,61.6,17.9,22.1,.811,9.0,32.9,41.9,22.3,8.1,5.0,13.7,19.7,104.7
San Antonio Spurs,39.4,83.5,9.2,23.4,30.2,60.1,18.0,22.5,.801,9.9,33.9,43.8,24.0,8.1,6.0,13.4,18.5,105.9
New York Knicks,39.6,88.5,8.6,24.6,31.0,63.9,16.7,21.2,.791,11.8,33.5,45.3,21.8,7.1,5.7,13.9,20.5,104.5
New Orleans Pelicans,39.0,86.9,9.6,27.0,29.5,59.9,16.9,22.5,.752,8.6,35.4,44.0,22.8,7.8,5.6,12.9,18.2,104.5
Milwaukee Bucks,39.0,82.1,8.7,23.7,30.3,58.4,17.6,22.9,.768,8.9,31.5,40.3,24.2,8.2,5.3,13.8,20.3,104.3
Minnesota Timberwolves,39.4,84.4,7.4,21.2,32.0,63.2,19.3,24.2,.796,11.6,30.9,42.5,23.6,7.9,4.6,14.1,20.2,105.5
Los Angeles Lakers,39.2,87.3,9.1,26.0,30.2,61.3,17.2,22.8,.756,11.4,32.2,43.6,20.8,8.0,3.9,15.1,20.9,104.7
Philadelphia 76ers,37.8,85.3,10.2,29.8,27.6,55.6,16.8,21.9,.768,9.8,33.1,42.9,23.9,8.4,5.3,16.7,22.0,102.6
Chicago Bulls,38.5,86.9,7.4,22.1,31.1,64.8,18.1,22.8,.795,12.2,33.5,45.7,22.4,7.8,4.8,13.5,17.7,102.5
Sacramento Kings,37.7,82.1,9.1,24.1,28.6,58.0,18.0,23.2,.774,8.7,32.3,41.1,22.3,7.7,4.0,14.7,20.4,102.4
Miami Heat,39.0,85.8,9.8,26.9,29.2,58.9,15.0,21.4,.704,10.7,33.0,43.7,21.2,7.1,5.8,13.4,20.6,102.8
Atlanta Hawks,37.9,84.4,8.8,25.8,29.1,58.5,18.1,25.0,.725,10.3,34.0,44.3,23.3,8.3,4.9,15.8,18.1,102.7
Orlando Magic,38.3,87.0,8.5,26.1,29.8,61.0,15.9,21.4,.743,10.0,33.2,43.2,22.1,7.0,4.8,13.3,19.3,100.9
Memphis Grizzlies,36.4,83.9,9.3,26.5,27.1,57.3,18.6,23.7,.783,10.9,32.1,43.0,21.3,8.1,4.1,12.9,22.7,100.7
Utah Jazz,36.9,79.4,9.6,25.9,27.3,53.4,17.2,23.0,.749,9.4,33.9,43.3,19.9,6.7,4.9,13.6,18.9,100.6
Detroit Pistons,39.7,88.5,7.5,23.1,32.2,65.4,14.1,19.5,.721,10.9,34.7,45.6,21.0,7.0,3.9,11.9,18.0,101.0
Dallas Mavericks,36.1,82.0,10.7,29.8,25.5,52.2,14.9,18.6,.804,7.8,30.6,38.4,20.6,7.6,3.7,11.8,19.1,97.9
