Visitor,Home,Prediction,Result,Prediction_Outcome
Cleveland Cavaliers,Atlanta Hawks,,,
Memphis Grizzlies,Dallas Mavericks,,,
Boston Celtics,Los Angeles Lakers,,,
Los Angeles Clippers,Milwaukee Bucks,,,
San Antonio Spurs,New Orleans Pelicans,,,
Miami Heat,Orlando Magic,,,
New York Knicks,Philadelphia 76ers,,,
Oklahoma City Thunder,Phoenix Suns,,,
Brooklyn Nets,Utah Jazz,,,
Toronto Raptors,Washington Wizards,,,
Cleveland Cavaliers,Atlanta Hawks,,,
Memphis Grizzlies,Dallas Mavericks,,,
Boston Celtics,Los Angeles Lakers,,,
Los Angeles Clippers,Milwaukee Bucks,,,
San Antonio Spurs,New Orleans Pelicans,,,
Miami Heat,Orlando Magic,,,
New York Knicks,Philadelphia 76ers,,,
Oklahoma City Thunder,Phoenix Suns,,,
Brooklyn Nets,Utah Jazz,,,
Toronto Raptors,Washington Wizards,,,
