Visitor,Home,Prediction,Result,Prediction_Outcome
Oklahoma City Thunder,Dallas Mavericks,,,
Detroit Pistons,New York Knicks,,,
Memphis Grizzlies,Sacramento Kings,,,
Cleveland Cavaliers,San Antonio Spurs,,,
Orlando Magic,Toronto Raptors,,,
New Orleans Pelicans,Utah Jazz,,,
Oklahoma City Thunder,Dallas Mavericks,,,
Detroit Pistons,New York Knicks,,,
Memphis Grizzlies,Sacramento Kings,,,
Cleveland Cavaliers,San Antonio Spurs,,,
Orlando Magic,Toronto Raptors,,,
New Orleans Pelicans,Utah Jazz,,,
