team_name,opp_mp,opp_fg_pct,opp_avg_dist,opp_fg2a_pct_fga,opp_pct_fga_00_03,opp_pct_fga_03_10,opp_pct_fga_10_16,opp_pct_fga_16_xx,opp_fg3a_pct_fga,opp_fg2_pct,opp_fg_pct_00_03,opp_fg_pct_03_10,opp_fg_pct_10_16,opp_fg_pct_16_xx,opp_fg3_pct,opp_fg2_pct_ast,opp_pct_fg2_dunk,opp_fg2_dunk,opp_pct_fg2_layup,opp_fg2_layup,opp_fg3_pct_ast,opp_pct_fg3a_corner,opp_fg3_pct_corner
Atlanta Hawks,13615,.447,14.0,.661,.262,.133,.109,.157,.339,.493,.589,.433,.415,.435,.359,.483,.043,187,.224,578,.834,.241,.410
Boston Celtics,13755,.453,13.6,.685,.276,.162,.095,.151,.315,.504,.620,.425,.416,.430,.341,.505,.044,198,.240,658,.851,.220,.362
Brooklyn Nets,13515,.463,13.2,.699,.288,.156,.104,.153,.301,.505,.620,.428,.392,.444,.366,.470,.051,245,.255,716,.786,.225,.376
Chicago Bulls,13730,.461,12.8,.713,.306,.157,.099,.151,.287,.501,.618,.408,.411,.418,.363,.532,.051,234,.277,746,.850,.241,.403
Charlotte Hornets,13515,.448,14.0,.643,.294,.112,.092,.145,.357,.497,.582,.426,.437,.419,.358,.503,.036,155,.261,700,.862,.224,.384
Cleveland Cavaliers,13300,.455,13.3,.680,.290,.150,.104,.135,.320,.499,.631,.388,.408,.412,.362,.528,.046,198,.249,696,.826,.243,.368
Dallas Mavericks,13540,.468,13.7,.684,.261,.146,.110,.168,.316,.505,.665,.422,.413,.386,.388,.479,.044,175,.219,592,.784,.250,.422
Denver Nuggets,13515,.480,13.2,.709,.290,.145,.105,.169,.291,.523,.642,.474,.445,.410,.374,.502,.051,236,.246,703,.840,.217,.442
Detroit Pistons,13730,.459,13.3,.706,.261,.170,.118,.156,.294,.500,.644,.391,.449,.417,.361,.532,.037,157,.228,645,.854,.230,.364
Golden State Warriors,13540,.436,13.5,.682,.283,.156,.098,.145,.318,.488,.623,.383,.383,.409,.326,.500,.048,222,.244,693,.829,.206,.365
Houston Rockets,14020,.461,13.4,.679,.285,.168,.084,.141,.321,.513,.691,.407,.369,.366,.352,.496,.047,231,.256,822,.820,.238,.388
Indiana Pacers,13805,.451,14.2,.657,.259,.146,.097,.155,.343,.499,.629,.429,.434,.389,.358,.489,.048,212,.244,659,.879,.261,.394
Los Angeles Clippers,13490,.447,13.6,.698,.262,.155,.123,.159,.302,.491,.646,.436,.401,.360,.345,.513,.049,218,.229,636,.832,.223,.377
Los Angeles Lakers,13920,.480,13.3,.684,.298,.149,.092,.145,.316,.534,.681,.434,.398,.417,.363,.531,.066,300,.242,746,.853,.211,.392
Memphis Grizzlies,14120,.436,14.0,.646,.276,.148,.086,.136,.354,.487,.617,.412,.378,.373,.343,.476,.042,173,.248,632,.826,.239,.390
Miami Heat,13755,.449,12.6,.724,.301,.163,.116,.143,.276,.488,.581,.438,.453,.378,.347,.453,.042,186,.265,668,.840,.243,.375
Milwaukee Bucks,13275,.453,13.3,.648,.314,.138,.088,.108,.352,.502,.621,.420,.367,.369,.363,.546,.053,220,.265,687,.869,.309,.402
Minnesota Timberwolves,13755,.472,13.1,.678,.313,.137,.091,.137,.322,.523,.651,.430,.415,.397,.363,.483,.059,265,.263,715,.862,.215,.417
New Orleans Pelicans,13855,.447,13.6,.667,.283,.158,.095,.130,.333,.496,.649,.376,.377,.395,.349,.499,.052,246,.243,722,.836,.226,.352
New York Knicks,13855,.453,12.7,.686,.328,.145,.085,.128,.314,.500,.599,.422,.393,.406,.352,.471,.053,239,.283,770,.836,.230,.404
Oklahoma City Thunder,13780,.459,12.1,.713,.327,.174,.099,.113,.287,.499,.622,.388,.415,.388,.359,.462,.053,228,.280,783,.838,.229,.385
Orlando Magic,13995,.464,13.0,.695,.308,.148,.101,.138,.305,.507,.629,.444,.376,.400,.364,.495,.061,258,.253,722,.837,.221,.403
Philadelphia 76ers,13540,.458,13.0,.704,.296,.156,.106,.147,.296,.496,.632,.379,.436,.391,.367,.487,.049,221,.254,688,.829,.215,.421
Phoenix Suns,13805,.471,13.2,.700,.296,.143,.107,.153,.300,.507,.644,.381,.436,.411,.388,.467,.050,220,.256,723,.819,.212,.461
Portland Trail Blazers,13615,.454,13.4,.693,.276,.162,.106,.150,.307,.486,.570,.442,.442,.409,.381,.444,.041,172,.238,587,.810,.199,.347
Sacramento Kings,13830,.463,14.3,.635,.240,.170,.081,.145,.365,.515,.660,.439,.436,.407,.373,.520,.053,221,.215,584,.832,.241,.425
San Antonio Spurs,13490,.442,12.9,.707,.291,.166,.101,.148,.293,.484,.601,.367,.420,.428,.341,.497,.050,212,.255,637,.841,.241,.334
Toronto Raptors,13755,.454,13.4,.669,.274,.179,.092,.124,.331,.500,.653,.393,.394,.397,.361,.493,.053,233,.249,654,.834,.239,.358
Utah Jazz,13730,.439,12.8,.721,.293,.167,.110,.151,.279,.471,.597,.377,.363,.405,.357,.408,.048,195,.246,616,.778,.191,.390
Washington Wizards,13325,.457,13.6,.677,.287,.146,.099,.145,.323,.507,.628,.404,.455,.409,.353,.503,.048,207,.246,648,.833,.219,.385
