team_name,opp_fg,opp_fga,opp_fg3,opp_fg3a,opp_fg2,opp_fg2a,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts
Utah Jazz,35.9,81.9,8.2,22.9,27.8,59.0,15.7,20.6,.759,9.2,31.4,40.5,17.7,7.1,3.6,12.3,20.5,95.7
San Antonio Spurs,36.7,83.0,8.3,24.3,28.4,58.7,16.7,21.4,.777,9.5,31.5,41.0,21.1,7.5,4.2,14.5,20.0,98.4
Dallas Mavericks,36.6,78.3,9.6,24.7,27.1,53.6,17.5,22.6,.775,8.9,35.5,44.4,20.5,6.2,3.5,15.2,19.5,100.4
Memphis Grizzlies,34.4,78.9,9.6,27.9,24.8,50.9,21.2,28.4,.746,9.2,33.1,42.3,19.7,7.0,5.1,14.7,21.4,99.5
Washington Wizards,38.8,84.9,9.7,27.4,29.2,57.5,17.9,24.0,.748,10.7,32.0,42.7,22.7,7.5,4.2,15.5,19.5,105.3
Detroit Pistons,38.0,82.7,8.8,24.4,29.2,58.4,16.9,21.6,.782,8.2,34.0,42.2,23.1,7.0,4.2,12.8,17.4,101.7
Milwaukee Bucks,38.1,84.1,10.7,29.6,27.3,54.5,18.5,23.8,.778,10.7,31.9,42.6,24.3,7.4,5.2,14.8,19.8,105.4
Cleveland Cavaliers,40.3,88.5,10.3,28.3,30.0,60.2,15.1,19.5,.775,11.0,32.7,43.8,24.3,7.5,4.7,13.5,21.4,106.0
Los Angeles Clippers,38.4,85.9,8.9,25.9,29.5,60.0,18.4,23.9,.772,10.4,32.9,43.4,22.6,7.2,3.4,13.3,21.9,104.1
Charlotte Hornets,39.3,87.7,11.2,31.3,28.0,56.4,14.4,18.7,.774,9.1,35.7,44.8,23.8,7.0,6.0,12.8,20.1,104.2
Atlanta Hawks,39.1,87.5,10.7,29.7,28.5,57.8,15.3,20.1,.762,10.8,33.3,44.1,22.7,9.1,5.1,15.4,21.3,104.3
Miami Heat,38.1,84.8,8.1,23.4,30.0,61.4,18.2,23.5,.775,10.3,33.9,44.1,20.4,7.0,5.0,13.3,18.8,102.5
Chicago Bulls,39.7,86.2,9.0,24.8,30.7,61.4,14.3,18.6,.769,10.1,32.3,42.4,24.0,7.3,4.9,13.1,19.4,102.8
Golden State Warriors,39.1,89.6,9.3,28.5,29.8,61.1,18.0,23.5,.765,11.5,32.0,43.5,22.6,8.6,3.9,15.4,20.0,105.4
Toronto Raptors,37.8,83.1,9.9,27.5,27.8,55.6,18.9,24.1,.782,10.4,32.5,42.9,22.0,6.5,4.7,15.1,20.4,104.3
Philadelphia 76ers,39.1,85.3,9.3,25.2,29.8,60.1,19.4,25.4,.762,10.7,34.5,45.1,22.2,8.4,5.0,15.3,20.2,106.8
Boston Celtics,38.7,85.4,9.2,26.9,29.5,58.5,19.1,24.8,.771,10.9,33.9,44.8,22.7,7.4,5.0,14.1,19.6,105.6
Minnesota Timberwolves,39.1,82.9,9.7,26.6,29.4,56.2,17.8,23.2,.768,9.7,30.9,40.6,22.6,7.6,5.0,14.2,20.7,105.7
Sacramento Kings,37.6,81.3,11.1,29.7,26.6,51.6,19.3,24.9,.776,9.6,32.5,42.1,23.1,8.3,5.4,14.7,21.1,105.7
Oklahoma City Thunder,39.5,86.0,8.9,24.7,30.6,61.3,18.3,24.2,.755,9.6,31.8,41.4,21.6,8.3,5.5,13.8,20.9,106.0
Indiana Pacers,38.4,85.3,10.5,29.2,28.0,56.1,19.1,24.1,.792,11.0,34.1,45.1,22.9,8.1,5.2,15.1,20.0,106.4
New Orleans Pelicans,39.9,89.3,10.4,29.8,29.6,59.6,16.2,20.9,.778,10.4,38.1,48.5,23.4,7.5,4.6,13.7,19.2,106.5
Orlando Magic,39.8,85.8,9.5,26.2,30.2,59.6,17.0,22.2,.768,9.8,35.3,45.2,22.9,7.6,5.1,13.2,18.8,106.1
Portland Trail Blazers,39.1,86.1,10.1,26.4,29.0,59.7,21.9,27.6,.794,10.2,34.7,44.9,21.0,7.9,5.3,13.0,19.6,110.1
New York Knicks,40.1,88.4,9.8,27.7,30.3,60.7,19.3,24.8,.779,11.8,33.1,44.9,22.4,7.7,4.6,12.9,18.4,109.2
Denver Nuggets,42.2,88.0,9.6,25.6,32.6,62.4,17.8,22.6,.790,9.0,31.0,40.0,24.4,8.5,5.2,11.9,20.6,111.8
Houston Rockets,40.4,87.5,9.9,28.1,30.5,59.5,17.4,22.5,.773,10.3,32.9,43.2,23.2,8.6,5.0,15.2,20.2,108.0
Brooklyn Nets,42.5,91.7,10.1,27.6,32.4,64.1,19.1,24.8,.772,11.3,36.3,47.6,23.2,9.9,5.9,13.1,20.0,114.2
Phoenix Suns,40.0,85.0,9.9,25.5,30.1,59.5,22.4,28.5,.788,9.8,33.3,43.1,22.2,8.0,5.7,15.4,22.1,112.4
Los Angeles Lakers,41.3,86.1,9.9,27.2,31.4,58.9,18.2,24.1,.758,10.4,34.2,44.6,25.1,8.6,5.3,14.0,18.8,110.7
