team_name,W_PCT,HOME_RECORD,ROAD_RECORD,L10,CurrentStreak
New York Knicks,0.48148148148148145,0.46153846153846156,0.5,0.5,3
Los Angeles Lakers,0.15384615384615385,0.2222222222222222,0.11764705882352941,0.2,-1
Memphis Grizzlies,0.5,0.5714285714285714,0.42857142857142855,0.4,-2
Philadelphia 76ers,0.03571428571428571,0.08333333333333333,0.0,0.1,-9
San Antonio Spurs,0.8214285714285714,1.0,0.6153846153846154,0.9,5
Houston Rockets,0.48148148148148145,0.5,0.46153846153846156,0.6,1
Detroit Pistons,0.5714285714285714,0.7142857142857143,0.42857142857142855,0.7,2
Boston Celtics,0.5185185185185185,0.5,0.5384615384615384,0.5,-3
Miami Heat,0.6,0.6875,0.4444444444444444,0.5,-1
Orlando Magic,0.5769230769230769,0.6923076923076923,0.46153846153846156,0.7,3
Portland Trail Blazers,0.39285714285714285,0.5,0.3125,0.4,-2
Golden State Warriors,0.9629629629629629,1.0,0.9333333333333333,0.9,2
Chicago Bulls,0.625,0.7333333333333333,0.4444444444444444,0.6,-1
Washington Wizards,0.4166666666666667,0.36363636363636365,0.46153846153846156,0.4,-2
Dallas Mavericks,0.5555555555555556,0.5833333333333334,0.5333333333333333,0.5,1
Minnesota Timberwolves,0.38461538461538464,0.2857142857142857,0.5,0.2,1
Oklahoma City Thunder,0.6538461538461539,0.8,0.45454545454545453,0.7,-1
Charlotte Hornets,0.6,0.7333333333333333,0.4,0.6,1
Milwaukee Bucks,0.35714285714285715,0.6153846153846154,0.13333333333333333,0.3,-3
Los Angeles Clippers,0.5925925925925926,0.6666666666666666,0.5,0.7,-1
Toronto Raptors,0.6071428571428571,0.6666666666666666,0.5625,0.6,1
Utah Jazz,0.44,0.5,0.38461538461538464,0.3,1
Phoenix Suns,0.42857142857142855,0.5714285714285714,0.2857142857142857,0.4,1
Sacramento Kings,0.38461538461538464,0.5333333333333333,0.18181818181818182,0.4,-1
New Orleans Pelicans,0.2692307692307692,0.45454545454545453,0.13333333333333333,0.3,-1
Cleveland Cavaliers,0.7083333333333334,0.9166666666666666,0.5,0.6,4
Atlanta Hawks,0.5714285714285714,0.6,0.5384615384615384,0.5,2
Brooklyn Nets,0.2692307692307692,0.46153846153846156,0.07692307692307693,0.4,-4
Indiana Pacers,0.64,0.7692307692307693,0.5,0.6,3
Denver Nuggets,0.4230769230769231,0.4166666666666667,0.42857142857142855,0.5,-1
