"team_name","age","wins_pyth","losses_pyth","mov","sos","srs","off_rtg","def_rtg","pace","fta_per_fga_pct","fg3a_per_fga_pct","ts_pct","efg_pct","tov_pct","orb_pct","ft_rate","opp_efg_pct","opp_tov_pct","drb_pct","opp_ft_rate","opp_mp","opp_fg_pct","opp_avg_dist","opp_fg2a_pct_fga","opp_pct_fga_00_03","opp_pct_fga_03_10","opp_pct_fga_10_16","opp_pct_fga_16_xx","opp_fg3a_pct_fga","opp_fg2_pct","opp_fg_pct_00_03","opp_fg_pct_03_10","opp_fg_pct_10_16","opp_fg_pct_16_xx","opp_fg3_pct","opp_fg2_pct_ast","opp_pct_fg2_dunk","opp_fg2_dunk","opp_pct_fg2_layup","opp_fg2_layup","opp_fg3_pct_ast","opp_pct_fg3a_corner","opp_fg3_pct_corner","opp_fg","opp_fga","opp_fg3","opp_fg3a","opp_fg2","opp_fg2a","opp_ft","opp_fta","opp_ft_pct","opp_orb","opp_drb","opp_trb","opp_ast","opp_stl","opp_blk","opp_tov","opp_pf","opp_pts","fg_pct","avg_dist","fg2a_pct_fga","pct_fga_00_03","pct_fga_03_10","pct_fga_10_16","pct_fga_16_xx","fg3a_pct_fga","fg2_pct","fg_pct_00_03","fg_pct_03_10","fg_pct_10_16","fg_pct_16_xx","fg3_pct","fg2_pct_ast","pct_fg2_dunk","fg2_dunk","pct_fg2_layup","fg2_layup","fg3_pct_ast","pct_fg3a_corner","fg3_pct_corner","fg3a_heave","fg3_heave","fg","fga","fg3","fg3a","fg2","fg2a","ft","fta","ft_pct","orb","drb","trb","ast","stl","blk","tov","pf","pts"
"Golden State Warriors",28.1,27,5,12.91,-0.97,11.93,115.9,103.1,100.5,0.272,0.357,0.599,0.563,13.3,22.3,0.215,0.481,13.3,75.4,0.206,7730,0.431,13.5,0.694,0.276,0.161,0.099,0.158,0.306,0.479,0.622,0.356,0.414,0.394,0.322,0.479,0.043,95,0.244,350,0.831,0.215,0.364,38.4,89.3,9.1,28.1,29.3,61.2,18.4,24.3,0.756,11.8,32.2,43.9,21.3,8.7,3.6,15.3,20.3,104.3,0.498,14.3,0.64,0.294,0.107,0.11,0.13,0.36,0.563,0.708,0.422,0.428,0.465,0.381,0.669,0.071,165,0.233,358,0.866,0.204,0.383,11,0,43.3,87.4,11.8,31.2,31.5,56.2,18.8,23.8,0.792,9.3,36,45.3,31.1,9.6,6.2,15.1,20.1,117.2
"Toronto Raptors",26.1,22,7,9.17,0.32,9.5,117.4,107.8,95.1,0.303,0.284,0.582,0.537,10.9,25.5,0.245,0.509,14.3,73.7,0.211,6985,0.453,13.4,0.663,0.283,0.171,0.09,0.12,0.337,0.51,0.646,0.402,0.399,0.43,0.342,0.497,0.056,117,0.259,322,0.854,0.222,0.367,37.8,83.7,9.7,28.4,28.1,55.3,17.7,23.2,0.762,11.2,31.5,42.7,22.2,6.2,4.1,15.7,20.7,102.8,0.48,13.4,0.712,0.244,0.179,0.124,0.166,0.288,0.514,0.642,0.478,0.452,0.408,0.395,0.403,0.046,97,0.217,285,0.812,0.277,0.41,4,1,40.8,84.9,9.6,24.1,31.3,60.8,20.8,25.7,0.808,10.8,31.5,42.2,20.1,9.1,4.6,11.8,21.2,112
"Cleveland Cavaliers",29.1,21,8,7.97,0.42,8.38,114.6,106.4,96.4,0.292,0.391,0.575,0.538,12.2,23.9,0.221,0.501,12.4,75.4,0.171,6985,0.443,13.5,0.685,0.282,0.15,0.109,0.144,0.315,0.484,0.628,0.334,0.411,0.414,0.355,0.516,0.036,69,0.246,317,0.847,0.205,0.343,39.1,87.8,9.7,27.9,29.4,59.9,15,19.6,0.764,11.1,32.5,43.6,23.5,7,4.8,13.6,21.9,102.9,0.464,14.6,0.605,0.27,0.118,0.098,0.12,0.395,0.505,0.657,0.331,0.454,0.377,0.401,0.435,0.056,103,0.222,273,0.841,0.275,0.472,4,0,39.3,85.5,13.3,33.4,26,52,18.9,24.9,0.758,10.2,34.2,44.4,22.7,7.3,4.3,13.4,18.2,110.8
"San Antonio Spurs",29.7,22,9,6.65,0.08,6.73,111.4,104.3,93.9,0.274,0.269,0.57,0.526,12.7,23.1,0.225,0.496,13.5,77.7,0.191,7440,0.446,13.2,0.7,0.286,0.157,0.103,0.154,0.3,0.492,0.595,0.403,0.443,0.421,0.341,0.511,0.049,94,0.251,304,0.833,0.259,0.329,36.8,82.7,8.5,25.2,28.3,57.5,15.8,20.5,0.77,9.6,31.5,41.1,21.4,7.7,3.9,14.3,19.6,97.9,0.469,13.6,0.727,0.245,0.16,0.114,0.209,0.273,0.495,0.633,0.406,0.393,0.456,0.4,0.54,0.048,90,0.208,265,0.888,0.267,0.46,6,0,38.5,81.9,9,22,29.5,59.8,18.5,22.5,0.822,9.5,33.5,42.9,23.6,8.2,5.4,13.3,18.1,104.6
"Los Angeles Clippers",30,23,9,7.38,-0.71,6.66,112.5,104.9,96.2,0.314,0.323,0.571,0.53,12,22.5,0.239,0.493,13.2,76.7,0.213,7730,0.444,13.4,0.722,0.253,0.167,0.129,0.172,0.278,0.476,0.657,0.417,0.367,0.35,0.363,0.494,0.045,99,0.224,311,0.824,0.227,0.336,37.5,84.7,8.4,24,29.1,60.7,18.1,23.8,0.758,10.3,32.4,42.7,21.1,7.1,3.3,14.4,23.2,101.5,0.467,14.2,0.684,0.269,0.118,0.086,0.21,0.316,0.507,0.652,0.338,0.414,0.455,0.38,0.503,0.061,127,0.222,302,0.78,0.217,0.416,5,0,39.3,83.8,10.4,27,28.9,56.8,20,26.3,0.759,9.4,34.1,43.4,22.6,8.3,4.6,13.1,20.5,108.9
"Houston Rockets",27.3,22,9,6.77,-0.22,6.55,114.5,107.6,97.6,0.263,0.452,0.582,0.551,14.1,26.9,0.195,0.511,13.2,76.7,0.207,7515,0.451,13.3,0.688,0.274,0.179,0.091,0.142,0.312,0.496,0.677,0.385,0.383,0.359,0.354,0.464,0.042,96,0.248,381,0.858,0.24,0.412,39.3,86.4,9.7,26.8,29.5,59.6,17.9,23,0.778,10.2,31.4,41.5,21.9,8.7,5,14.7,19.2,106.1,0.468,14.3,0.551,0.312,0.143,0.041,0.056,0.449,0.537,0.671,0.357,0.38,0.38,0.383,0.542,0.072,155,0.264,391,0.775,0.206,0.387,7,0,40.5,87,14.9,39.3,25.6,47.7,17,22.8,0.744,11.5,33.4,44.9,25.5,8,4.7,15.9,20,112.9
"Utah Jazz",26.4,20,11,3.87,0.2,4.07,108.8,104.5,91.1,0.295,0.345,0.568,0.528,13.4,20.7,0.227,0.478,11.1,77.5,0.19,7440,0.424,12.5,0.729,0.311,0.164,0.104,0.149,0.271,0.45,0.573,0.337,0.337,0.397,0.354,0.411,0.046,94,0.267,322,0.817,0.196,0.387,35.6,83.1,8.1,22.5,27.5,60.6,15.8,20.8,0.76,10,31,41,17.6,7.2,3.6,11.5,20.3,95.2,0.471,13.5,0.658,0.292,0.145,0.097,0.124,0.342,0.526,0.662,0.452,0.448,0.353,0.366,0.434,0.061,122,0.234,304,0.79,0.228,0.361,5,0,35.9,77.2,9.6,26.6,26.3,50.6,17.5,22.8,0.771,8.1,34.3,42.4,19.1,6.2,5.3,13.5,19.6,99.1
"Milwaukee Bucks",25.5,16,12,2.04,0.11,2.14,108.1,106,96,0.264,0.291,0.553,0.516,12.9,22.9,0.203,0.491,13,76.3,0.22,6770,0.43,13.5,0.653,0.299,0.141,0.097,0.117,0.347,0.486,0.615,0.389,0.379,0.361,0.326,0.545,0.042,78,0.256,308,0.896,0.274,0.384,36.9,85.3,10,29.7,26.9,55.6,18.8,23.9,0.785,10.7,32.9,43.6,23.5,7.4,5,14.4,19.4,102.5,0.462,11.9,0.71,0.353,0.171,0.074,0.111,0.29,0.507,0.64,0.376,0.329,0.405,0.352,0.533,0.076,148,0.276,329,0.917,0.261,0.323,4,0,39.4,84.6,8.6,24.6,30.8,60,17.1,22.4,0.767,9.8,34.4,44.2,24.4,8.2,5.5,14,20.5,104.6
"Boston Celtics",25.9,17,14,1.84,-0.07,1.77,109.2,107.3,96,0.247,0.363,0.548,0.51,11.3,21.3,0.196,0.497,13.2,74,0.228,7465,0.443,13.4,0.689,0.278,0.168,0.098,0.144,0.311,0.49,0.607,0.431,0.393,0.395,0.338,0.506,0.039,81,0.248,315,0.842,0.215,0.359,37.5,84.6,9,26.2,28.6,58.4,19.3,25.2,0.765,11.4,35,46.4,21.7,7.2,5.3,14.5,19.7,103.4,0.447,13.9,0.641,0.292,0.141,0.073,0.134,0.359,0.499,0.61,0.367,0.426,0.441,0.354,0.555,0.027,59,0.278,369,0.861,0.212,0.463,8,0,38.6,86.6,11,31.5,27.6,55.1,17,21.4,0.792,9.5,32.4,41.9,24.6,7.7,4.4,12.2,20.8,105.2
"Charlotte Hornets",26.7,17,13,2.17,-0.51,1.66,106.9,104.7,96.5,0.3,0.319,0.536,0.493,10.9,20.5,0.228,0.501,11.6,79.6,0.148,7275,0.442,14,0.658,0.287,0.115,0.091,0.165,0.342,0.492,0.582,0.44,0.453,0.393,0.344,0.514,0.034,77,0.256,347,0.87,0.218,0.357,39.2,88.9,10.5,30.1,28.7,58.7,13.1,17.3,0.761,9.4,35.9,45.2,23.9,6.8,5.6,12.6,20.9,102.1,0.436,13.7,0.676,0.286,0.14,0.093,0.157,0.324,0.475,0.601,0.408,0.374,0.369,0.353,0.566,0.028,64,0.264,356,0.796,0.148,0.374,6,0,37.5,85.9,9.7,27.4,27.8,58.5,19.6,25.7,0.76,9.3,36.5,45.8,23.7,6.5,5.1,11.9,16.6,104.3
