team_name,fg,fga,fg3,fg3a,fg2,fg2a,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
Golden State Warriors,43.3,87.4,11.8,31.2,31.5,56.2,18.8,23.8,.792,9.3,36.0,45.3,31.1,9.6,6.2,15.1,20.1,117.2
Los Angeles Lakers,38.7,86.9,9.1,25.9,29.6,61.0,18.0,23.2,.777,11.8,32.5,44.2,20.6,8.2,3.7,16.0,20.3,104.5
Houston Rockets,40.5,87.0,14.9,39.3,25.6,47.7,17.0,22.8,.744,11.5,33.4,44.9,25.5,8.0,4.7,15.9,20.0,112.9
Los Angeles Clippers,39.3,83.8,10.4,27.0,28.9,56.8,20.0,26.3,.759,9.4,34.1,43.4,22.6,8.3,4.6,13.1,20.5,108.9
Portland Trail Blazers,39.6,86.6,10.6,29.4,29.0,57.2,19.0,24.3,.785,9.9,32.0,41.8,22.1,6.9,4.8,13.6,22.8,108.8
Oklahoma City Thunder,40.0,87.0,8.6,25.7,31.4,61.3,18.4,25.4,.725,11.1,34.5,45.6,22.0,7.8,5.0,15.3,20.4,107.0
New Orleans Pelicans,38.3,87.5,8.6,25.3,29.7,62.2,17.5,23.3,.753,8.8,35.9,44.7,22.9,7.5,6.1,13.0,18.7,102.6
Boston Celtics,38.6,86.6,11.0,31.5,27.6,55.1,17.0,21.4,.792,9.5,32.4,41.9,24.6,7.7,4.4,12.2,20.8,105.2
Toronto Raptors,40.8,84.9,9.6,24.1,31.3,60.8,20.8,25.7,.808,10.8,31.5,42.2,20.1,9.1,4.6,11.8,21.2,112.0
San Antonio Spurs,38.5,81.9,9.0,22.0,29.5,59.8,18.5,22.5,.822,9.5,33.5,42.9,23.6,8.2,5.4,13.3,18.1,104.6
Indiana Pacers,39.0,86.2,8.0,22.7,31.0,63.5,18.4,22.8,.809,8.8,34.0,42.8,21.8,8.6,5.6,14.3,19.6,104.5
Denver Nuggets,39.2,87.5,9.4,26.4,29.8,61.1,19.7,26.5,.743,12.7,35.2,47.9,22.4,6.5,4.2,16.0,21.0,107.5
Cleveland Cavaliers,39.3,85.5,13.3,33.4,26.0,52.0,18.9,24.9,.758,10.2,34.2,44.4,22.7,7.3,4.3,13.4,18.2,110.8
Phoenix Suns,39.4,88.7,8.4,24.5,31.0,64.2,19.9,26.2,.759,11.6,33.5,45.1,18.5,8.6,4.5,16.0,25.4,107.1
New York Knicks,39.8,89.2,9.1,25.0,30.7,64.2,17.0,21.5,.789,12.1,33.7,45.8,21.7,7.3,5.9,14.1,21.2,105.6
Detroit Pistons,38.5,85.6,7.3,21.8,31.2,63.8,14.2,19.0,.747,9.7,34.2,43.8,20.7,6.9,3.6,11.9,17.5,98.4
Orlando Magic,37.3,85.8,8.6,25.7,28.8,60.2,15.0,21.2,.708,9.6,33.5,43.2,21.8,6.5,5.7,12.8,18.4,98.3
Charlotte Hornets,37.5,85.9,9.7,27.4,27.8,58.5,19.6,25.7,.760,9.3,36.5,45.8,23.7,6.5,5.1,11.9,16.6,104.3
Memphis Grizzlies,35.1,84.3,8.4,25.2,26.8,59.1,18.8,23.9,.785,10.9,33.4,44.3,20.1,8.7,5.1,13.7,24.3,97.4
Minnesota Timberwolves,38.1,84.2,8.0,23.2,30.1,61.0,19.5,24.9,.783,12.1,31.0,43.1,21.8,7.4,4.7,14.9,20.9,103.8
Brooklyn Nets,37.7,86.2,10.9,33.3,26.8,52.9,19.8,25.4,.779,9.5,35.3,44.8,21.0,7.7,4.5,17.3,20.9,106.1
Utah Jazz,35.9,77.2,9.6,26.6,26.3,50.6,17.5,22.8,.771,8.1,34.3,42.4,19.1,6.2,5.3,13.5,19.6,99.1
Sacramento Kings,37.4,83.4,8.6,24.4,28.8,59.0,18.9,24.6,.767,9.5,31.9,41.4,21.6,8.0,4.2,13.9,20.8,102.3
Atlanta Hawks,38.7,84.3,8.6,25.8,30.1,58.5,16.3,22.7,.717,10.2,33.2,43.4,24.1,8.7,5.2,16.0,17.8,102.2
Miami Heat,37.9,86.4,8.4,24.9,29.5,61.5,14.4,21.8,.661,11.6,33.9,45.5,20.6,6.7,5.5,13.2,20.3,98.6
Washington Wizards,40.1,86.3,7.7,22.2,32.3,64.1,17.1,22.1,.775,10.3,31.2,41.5,22.2,8.8,3.8,14.2,21.8,105.0
Chicago Bulls,38.1,86.9,6.1,19.5,32.0,67.3,18.7,23.4,.799,13.5,34.3,47.8,21.1,7.5,5.3,13.5,17.3,101.0
Milwaukee Bucks,39.4,84.6,8.6,24.6,30.8,60.0,17.1,22.4,.767,9.8,34.4,44.2,24.4,8.2,5.5,14.0,20.5,104.6
Philadelphia 76ers,36.7,84.4,10.7,30.0,26.0,54.3,14.6,19.7,.741,9.3,33.8,43.1,22.7,7.6,5.8,17.0,21.9,98.7
Dallas Mavericks,35.0,82.1,10.0,29.6,25.0,52.5,14.0,17.7,.793,8.7,29.8,38.5,19.0,8.1,3.7,12.3,19.1,94.1
