Visitor,Home,Prediction,Result,Prediction_Outcome
Minnesota Timberwolves,Brooklyn Nets,,,
Atlanta Hawks,Cleveland Cavaliers,,,
Dallas Mavericks,Los Angeles Lakers,,,
Denver Nuggets,Memphis Grizzlies,,,
Phoenix Suns,Portland Trail Blazers,,,
New Orleans Pelicans,Sacramento Kings,,,
Minnesota Timberwolves,Brooklyn Nets,,,
Atlanta Hawks,Cleveland Cavaliers,,,
Dallas Mavericks,Los Angeles Lakers,,,
Denver Nuggets,Memphis Grizzlies,,,
Phoenix Suns,Portland Trail Blazers,,,
New Orleans Pelicans,Sacramento Kings,,,
