team_name,age,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate
Golden State Warriors,28.1,23,5,12.93,-1.28,11.65,116.9,104.1,100.1,.276,.360,.601,.566,13.2,22.9,.216,.480,12.8,74.8,.209
Toronto Raptors,26.1,21,6,9.19,0.45,9.63,117.8,108.2,94.8,.306,.288,.583,.537,11.0,25.9,.248,.511,14.3,73.6,.209
Cleveland Cavaliers,29.1,18,7,7.72,0.25,7.97,114.7,106.7,96.2,.295,.395,.580,.543,12.6,23.7,.223,.499,12.0,74.5,.159
Los Angeles Clippers,29.9,21,7,8.04,-0.61,7.42,112.9,104.7,96.3,.329,.316,.570,.527,11.7,23.1,.250,.495,13.4,77.9,.217
Houston Rockets,27.2,20,8,7.29,-0.27,7.02,114.3,106.9,97.9,.263,.449,.584,.554,14.2,26.6,.195,.507,13.3,77.0,.207
San Antonio Spurs,29.8,19,8,6.30,-0.18,6.12,110.8,104.1,94.0,.275,.273,.568,.524,12.6,21.9,.226,.498,13.4,78.5,.192
Utah Jazz,26.4,19,9,5.61,-0.44,5.16,110.1,104.0,91.0,.297,.342,.573,.534,13.1,20.8,.230,.472,11.2,77.0,.193
Boston Celtics,25.8,15,12,1.74,0.09,1.83,108.5,106.7,95.9,.238,.359,.547,.511,11.5,21.2,.186,.495,13.1,74.5,.221
Milwaukee Bucks,25.5,14,11,1.88,-0.47,1.41,107.2,105.3,96.4,.254,.290,.549,.513,13.1,23.1,.195,.487,13.2,75.8,.223
Charlotte Hornets,26.7,16,12,1.75,-0.39,1.36,106.1,104.3,96.8,.300,.324,.536,.493,11.0,19.8,.226,.500,11.7,80.2,.152
Chicago Bulls,27.8,16,11,2.26,-0.91,1.35,107.3,105.0,94.6,.281,.225,.524,.476,12.3,29.2,.225,.495,12.1,75.5,.148
Detroit Pistons,25.7,16,14,0.93,0.05,0.98,105.4,104.4,93.4,.210,.250,.523,.492,11.0,22.1,.158,.494,11.7,79.7,.195
Oklahoma City Thunder,24.7,15,13,1.04,-0.41,0.63,106.4,105.4,98.1,.288,.294,.538,.503,13.6,25.8,.207,.503,12.8,77.7,.196
Memphis Grizzlies,28.2,14,15,-0.34,0.14,-0.21,101.4,101.8,93.0,.285,.295,.509,.461,12.8,24.1,.223,.488,14.5,79.8,.258
Washington Wizards,26.1,12,15,-1.19,-0.13,-1.32,107.7,108.9,96.6,.255,.257,.546,.508,12.9,24.7,.198,.532,14.7,75.1,.208
Atlanta Hawks,28.3,12,16,-1.71,0.14,-1.58,104.2,105.9,98.5,.269,.307,.544,.513,14.9,24.2,.191,.515,13.9,77.2,.167
Denver Nuggets,25.2,13,15,-1.64,-0.19,-1.83,108.6,110.2,98.1,.301,.296,.542,.502,14.0,28.8,.225,.517,11.1,79.5,.223
Miami Heat,26.2,11,17,-3.07,0.98,-2.09,103.0,106.3,94.1,.257,.292,.510,.483,12.1,25.6,.170,.488,12.1,75.7,.208
Minnesota Timberwolves,23.6,11,16,-2.59,0.43,-2.16,108.5,111.2,95.4,.300,.273,.545,.500,13.6,27.6,.234,.526,13.4,76.4,.242
Indiana Pacers,27.2,13,16,-1.52,-0.78,-2.30,105.3,106.8,97.6,.258,.263,.544,.502,13.0,19.9,.208,.503,14.0,74.3,.214
Sacramento Kings,28.8,11,16,-2.52,0.09,-2.43,105.5,108.2,95.1,.289,.290,.534,.491,13.1,22.8,.222,.518,14.2,75.9,.237
New York Knicks,27.4,11,16,-3.07,0.52,-2.55,107.5,110.7,96.7,.242,.285,.532,.494,12.4,26.2,.189,.505,12.0,73.7,.235
Portland Trail Blazers,25.1,11,18,-3.52,0.86,-2.66,110.1,113.7,98.3,.273,.338,.559,.518,12.1,21.8,.218,.518,11.7,75.1,.259
New Orleans Pelicans,25.5,10,19,-4.79,0.60,-4.19,102.3,107.1,98.1,.266,.294,.526,.487,12.0,18.1,.202,.506,12.0,77.6,.177
Dallas Mavericks,27.5,8,20,-6.07,1.62,-4.45,102.5,109.1,91.2,.215,.361,.525,.489,12.1,19.1,.171,.536,15.0,78.0,.227
Los Angeles Lakers,26.1,9,21,-6.13,0.71,-5.42,105.6,111.8,98.8,.272,.293,.537,.496,14.3,26.0,.210,.535,12.8,75.3,.204
Orlando Magic,25.5,9,20,-5.14,-0.30,-5.44,102.1,107.5,94.8,.251,.302,.513,.480,11.9,21.7,.179,.503,11.7,76.7,.189
Phoenix Suns,26.0,8,20,-6.75,-0.35,-7.10,103.5,110.1,100.9,.292,.275,.530,.487,13.8,24.8,.223,.517,13.8,77.8,.273
Philadelphia 76ers,25.2,7,20,-7.44,0.09,-7.36,100.1,107.7,96.6,.231,.353,.527,.496,15.4,21.5,.170,.504,12.3,76.2,.215
Brooklyn Nets,26.6,7,19,-7.65,-0.31,-7.97,104.1,111.6,101.7,.302,.387,.547,.502,14.8,20.9,.235,.523,12.1,74.8,.199
