Visitor,Home,Prediction,Result,Prediction_Outcome
Sacramento Kings,Brooklyn Nets,,,
New Orleans Pelicans,Dallas Mavericks,,,
Los Angeles Clippers,Indiana Pacers,,,
Atlanta Hawks,Los Angeles Lakers,,,
Milwaukee Bucks,Orlando Magic,,,
Cleveland Cavaliers,Philadelphia 76ers,,,
Denver Nuggets,Phoenix Suns,,,
Houston Rockets,Portland Trail Blazers,,,
Sacramento Kings,Brooklyn Nets,,,
New Orleans Pelicans,Dallas Mavericks,,,
Los Angeles Clippers,Indiana Pacers,,,
Atlanta Hawks,Los Angeles Lakers,,,
Milwaukee Bucks,Orlando Magic,,,
Cleveland Cavaliers,Philadelphia 76ers,,,
Denver Nuggets,Phoenix Suns,,,
Houston Rockets,Portland Trail Blazers,,,
