Visitor,Home,Prediction,Result,Prediction_Outcome
Milwaukee Bucks,Boston Celtics,,,
Washington Wizards,Los Angeles Clippers,,,
Indiana Pacers,Memphis Grizzlies,,,
Dallas Mavericks,New Orleans Pelicans,,,
Miami Heat,New York Knicks,,,
Oklahoma City Thunder,Orlando Magic,,,
Atlanta Hawks,Philadelphia 76ers,,,
Utah Jazz,Sacramento Kings,,,
Golden State Warriors,San Antonio Spurs,,,
Charlotte Hornets,Toronto Raptors,,,
Milwaukee Bucks,Boston Celtics,,,
Washington Wizards,Los Angeles Clippers,,,
Indiana Pacers,Memphis Grizzlies,,,
Dallas Mavericks,New Orleans Pelicans,,,
Miami Heat,New York Knicks,,,
Oklahoma City Thunder,Orlando Magic,,,
Atlanta Hawks,Philadelphia 76ers,,,
Utah Jazz,Sacramento Kings,,,
Golden State Warriors,San Antonio Spurs,,,
Charlotte Hornets,Toronto Raptors,,,
